"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.7459e-09,4.3007e-06,4.5045e-05,6.2061,12.006,-4.6479,-14.996,2.8703e-13,9.9689e+08,0.042841,1.5217,0,193.42,25661,2.7146e+05,1,1.0327e+09,0,7.4e+07,1.0301e+09
5.489e-09,3.9857e-06,4.1917e-05,6.2012,11.957,-4.7021,-15.045,2.1997e-13,1.0248e+09,0.042841,1.5217,0,200.05,26591,2.822e+05,1,1.0606e+09,0,7.6e+07,1.0579e+09
5.2591e-09,3.7172e-06,3.9239e-05,6.1968,11.912,-4.7507,-15.089,1.8054e-13,1.0528e+09,0.042841,1.5217,0,206.53,27344,2.9117e+05,1,1.0886e+09,0,7.8e+07,1.0858e+09
5.0293e-09,3.4486e-06,3.656e-05,6.1923,11.868,-4.7993,-15.133,1.4112e-13,1.0807e+09,0.042841,1.5217,0,213.02,28096,3.0014e+05,1,1.1165e+09,0,8e+07,1.1136e+09
4.8336e-09,3.2322e-06,3.4389e-05,6.1885,11.83,-4.8419,-15.172,1.1849e-13,1.1087e+09,0.042841,1.5217,0,219.38,28674,3.0736e+05,1,1.1444e+09,0,8.2e+07,1.1414e+09
4.642e-09,3.0221e-06,3.2278e-05,6.1847,11.791,-4.8838,-15.21,9.7902e-14,1.1366e+09,0.042841,1.5217,0,225.73,29231,3.1436e+05,1,1.1723e+09,0,8.4e+07,1.1693e+09
4.4613e-09,2.8275e-06,3.032e-05,6.181,11.755,-4.9239,-15.247,8.0508e-14,1.1645e+09,0.042841,1.5217,0,232.04,29742,3.2091e+05,1,1.2002e+09,0,8.6e+07,1.1971e+09
4.2999e-09,2.6607e-06,2.8632e-05,6.1776,11.721,-4.961,-15.28,6.8791e-14,1.1925e+09,0.042841,1.5217,0,238.29,30170,3.2662e+05,1,1.2281e+09,0,8.8e+07,1.225e+09
4.1385e-09,2.4939e-06,2.6943e-05,6.1743,11.688,-4.998,-15.314,5.7074e-14,1.2204e+09,0.042841,1.5217,0,244.54,30599,3.3233e+05,1,1.256e+09,0,9e+07,1.2528e+09
3.997e-09,2.354e-06,2.5519e-05,6.1712,11.657,-5.0321,-15.345,4.9202e-14,1.2483e+09,0.042841,1.5217,0,250.74,30953,3.373e+05,1,1.2839e+09,0,9.2e+07,1.2806e+09
3.8596e-09,2.2197e-06,2.4149e-05,6.1681,11.626,-5.0655,-15.375,4.2128e-14,1.2763e+09,0.042841,1.5217,0,256.93,31291,3.4212e+05,1,1.3119e+09,0,9.4e+07,1.3085e+09
3.7279e-09,2.0927e-06,2.2852e-05,6.1652,11.597,-5.0981,-15.405,3.5828e-14,1.3042e+09,0.042841,1.5217,0,263.11,31611,3.4674e+05,1,1.3398e+09,0,9.6e+07,1.3363e+09
3.6099e-09,1.9832e-06,2.1727e-05,6.1624,11.569,-5.1288,-15.433,3.1363e-14,1.3321e+09,0.042841,1.5217,0,269.26,31887,3.509e+05,1,1.3677e+09,0,9.8e+07,1.3642e+09
3.4919e-09,1.8736e-06,2.0603e-05,6.1596,11.541,-5.1594,-15.461,2.6899e-14,1.3601e+09,0.042841,1.5217,0,275.4,32163,3.5506e+05,1,1.3956e+09,0,1e+08,1.392e+09
3.3859e-09,1.7788e-06,1.9624e-05,6.157,11.515,-5.1883,-15.487,2.3616e-14,1.388e+09,0.042841,1.5217,0,281.52,32404,3.5884e+05,1,1.4235e+09,0,1.02e+08,1.4198e+09
