r [Rsol]	 vr_mean [km/s]	 vr_stddev [km/s]	 vr_median [km/s]	 vr_q1 [km/s]	 vr_q3 [km/s]	 rho_mean [cm-3]	 rho_stddev [cm-3]	 rho_median [cm-3]	 rho_q1 [cm-3]	 rho_q3 [cm-3]	 T_mean [K]	 T_stddev [K]	 T_median [K]	 T_q1 [K]	 T_q3 [K]
52.55	 278.432	 20.415	 279.078	 262.844	 294.103	 297.650	 148.774	 246.637	 207.856	 299.563	 104558.699	 41901.768	 117688.836	 58430.045	 136243.531
52.650000000000006	 265.041	 22.215	 271.643	 253.845	 282.447	 320.690	 153.955	 240.839	 208.449	 360.587	 107457.813	 38476.925	 118650.070	 70891.008	 136739.734
52.75	 263.926	 27.185	 268.550	 243.448	 287.007	 314.136	 126.710	 245.620	 210.273	 379.260	 110056.543	 47863.710	 122484.395	 58763.040	 151024.414
52.849999999999994	 265.663	 28.477	 267.060	 243.086	 289.467	 314.996	 134.677	 285.754	 197.799	 360.592	 113953.245	 49662.168	 117950.266	 69021.328	 156813.969
52.95	 272.101	 32.210	 273.428	 245.163	 306.461	 296.993	 145.384	 283.285	 174.801	 361.486	 105737.050	 41526.014	 111028.551	 73988.465	 135671.184
53.05	 269.935	 31.435	 268.843	 231.430	 304.928	 281.281	 143.686	 203.182	 173.228	 347.598	 118427.502	 50629.762	 116945.961	 59118.588	 161807.230
53.150000000000006	 273.222	 27.871	 277.188	 259.989	 295.936	 289.104	 142.453	 315.364	 176.086	 340.740	 114545.531	 52699.659	 109815.125	 66973.258	 161321.414
53.25	 264.008	 30.698	 261.172	 233.085	 289.856	 288.968	 136.060	 277.001	 184.382	 347.375	 111988.876	 46535.048	 104347.531	 67140.617	 154022.461
53.349999999999994	 272.541	 38.390	 274.663	 247.048	 296.662	 287.054	 142.766	 276.336	 168.355	 348.579	 113477.990	 52276.896	 111660.086	 70070.664	 151766.367
53.45	 282.265	 45.533	 285.468	 262.153	 302.425	 281.186	 136.215	 276.690	 135.409	 342.697	 102131.459	 51244.497	 87502.555	 67845.195	 132371.844
53.55	 302.759	 81.457	 299.501	 253.354	 305.506	 239.552	 131.141	 256.410	 118.309	 293.445	 121919.731	 64602.288	 99804.594	 73973.078	 150799.031
53.650000000000006	 317.098	 102.903	 291.035	 256.374	 313.865	 220.553	 124.317	 252.484	 116.861	 282.728	 138236.480	 83694.030	 105642.672	 75292.195	 175419.742
53.75	 316.539	 106.469	 277.372	 253.019	 314.315	 218.864	 134.569	 246.809	 116.477	 289.349	 144652.390	 89729.313	 106499.125	 79971.555	 185779.305
53.849999999999994	 282.326	 73.431	 268.915	 253.189	 287.403	 214.898	 87.192	 230.184	 147.858	 289.182	 119625.776	 64077.863	 109497.418	 69077.527	 146260.078
53.95	 273.097	 37.814	 284.328	 230.989	 296.400	 264.124	 127.640	 229.903	 157.405	 343.975	 102921.100	 51074.567	 86365.957	 65534.073	 143229.027
54.05	 273.068	 33.448	 283.182	 230.011	 300.757	 273.632	 131.957	 235.524	 153.474	 329.561	 94221.355	 36849.859	 84529.066	 65050.153	 125731.051
54.150000000000006	 276.543	 33.254	 286.085	 236.328	 303.954	 273.671	 142.861	 221.829	 135.887	 353.016	 100366.617	 38207.233	 87902.961	 73117.100	 131679.453
54.25	 273.403	 32.321	 278.119	 236.033	 299.012	 273.002	 129.468	 225.911	 153.389	 347.269	 104338.184	 43820.971	 85256.375	 73016.805	 145438.844
54.349999999999994	 284.280	 39.499	 301.850	 236.445	 318.575	 264.142	 136.040	 219.449	 135.017	 346.573	 98120.835	 38381.935	 81757.191	 69739.094	 133041.465
54.45	 278.959	 32.843	 277.362	 250.038	 313.676	 259.679	 130.515	 212.125	 158.076	 309.933	 100062.330	 38029.472	 80706.633	 73862.299	 132021.742
54.55	 276.908	 31.177	 279.600	 243.709	 305.737	 257.857	 120.778	 209.017	 164.048	 300.323	 100846.977	 39766.478	 84087.477	 71501.697	 137231.719
54.650000000000006	 278.866	 30.903	 282.446	 246.510	 310.713	 304.896	 116.611	 279.073	 202.688	 340.546	 76872.884	 13953.520	 79706.922	 72036.867	 84501.641
54.75	 279.639	 30.686	 277.490	 251.495	 307.349	 307.290	 119.732	 268.862	 206.424	 340.966	 78380.968	 16387.252	 83299.938	 74540.508	 87548.094
54.849999999999994	 276.145	 29.322	 283.640	 243.780	 304.732	 306.362	 125.246	 269.801	 207.033	 325.313	 81843.103	 12654.449	 81086.012	 73951.781	 88301.412
54.95	 271.215	 25.366	 279.517	 246.701	 295.413	 306.846	 124.151	 259.290	 207.159	 466.029	 85211.049	 9479.259	 84850.449	 79842.879	 90087.287
55.05	 274.180	 25.808	 270.906	 248.741	 298.675	 303.718	 138.404	 237.903	 194.665	 517.253	 84695.221	 9792.830	 85598.594	 77260.973	 91268.262
55.150000000000006	 279.655	 15.507	 281.544	 267.665	 291.282	 300.412	 146.788	 264.600	 179.534	 506.115	 86778.528	 8973.941	 86902.980	 80362.270	 92247.195
55.25	 260.778	 26.093	 252.544	 234.194	 284.753	 315.958	 125.121	 245.016	 229.333	 315.537	 86079.328	 13755.786	 87209.820	 78524.035	 94081.535
55.349999999999994	 271.213	 18.062	 271.853	 261.392	 286.326	 299.815	 148.784	 243.095	 180.713	 524.218	 85175.198	 15419.431	 86119.047	 73380.039	 95601.750
55.45	 279.969	 15.189	 277.044	 271.301	 288.278	 282.909	 147.998	 232.934	 157.396	 326.693	 83899.641	 17797.729	 82457.336	 68764.195	 97500.375
55.55	 280.186	 18.577	 276.137	 265.650	 300.656	 335.680	 120.392	 310.440	 261.512	 468.324	 89741.125	 20102.900	 87063.984	 72779.961	 106188.016
55.650000000000006	 282.180	 14.671	 279.508	 271.786	 286.758	 392.769	 129.149	 324.656	 280.739	 533.090	 99263.469	 17597.451	 98276.812	 87391.766	 112855.812
55.75	 276.509	 7.220	 275.059	 271.241	 282.485	 407.939	 124.104	 479.723	 278.994	 533.909	 103115.099	 14533.326	 105380.520	 89713.447	 113500.119
55.849999999999994	 286.984	 15.755	 281.792	 274.034	 292.338	 402.140	 121.445	 481.928	 276.070	 519.400	 82725.340	 14550.552	 83166.617	 74800.131	 89446.840
55.95	 286.551	 16.731	 274.706	 270.823	 302.216	 403.698	 96.440	 476.066	 305.692	 495.398	 62744.346	 21945.377	 76987.652	 38611.621	 82084.709
56.05	 278.015	 10.779	 277.226	 276.106	 280.116	 426.519	 101.526	 508.401	 312.753	 518.594	 83271.438	 16645.421	 85231.969	 81272.859	 89136.641
56.150000000000006	 285.091	 14.648	 280.101	 276.069	 290.015	 449.223	 108.789	 510.884	 320.692	 537.811	 83166.788	 15746.880	 87766.750	 74871.594	 92823.828
56.25	 290.922	 11.206	 296.451	 281.693	 299.477	 405.837	 118.790	 494.138	 287.785	 522.390	 62236.025	 15446.498	 66314.672	 48191.617	 70546.000
56.349999999999994	 294.586	 6.475	 294.462	 290.390	 298.594	 402.955	 119.289	 492.369	 279.730	 518.633	 55379.412	 11021.525	 60126.707	 44199.387	 64967.514
56.45	 290.727	 7.784	 293.164	 285.561	 295.445	 405.779	 106.760	 490.440	 296.310	 509.926	 54789.303	 12894.232	 62588.949	 42759.523	 66679.785
56.55	 290.375	 15.128	 296.929	 283.980	 298.668	 407.608	 109.528	 498.178	 297.322	 512.623	 53682.559	 9822.865	 58237.566	 44232.154	 62138.531
56.650000000000006	 285.561	 12.946	 293.695	 274.750	 296.821	 415.174	 104.750	 495.935	 306.715	 517.175	 52277.027	 10940.655	 56592.691	 41170.359	 62838.891
56.75	 285.309	 17.693	 295.324	 273.512	 296.762	 443.410	 107.150	 505.335	 293.553	 517.722	 65988.765	 7893.394	 65558.348	 62870.216	 70754.088
56.849999999999994	 297.519	 4.118	 299.048	 293.030	 301.179	 508.692	 6.316	 508.415	 504.145	 512.902	 69562.946	 3121.793	 69081.238	 67175.359	 71460.268
56.95	 303.664	 1.363	 303.645	 302.588	 304.843	 498.440	 6.544	 497.570	 493.607	 502.858	 65563.122	 2916.084	 65052.844	 63421.820	 67428.840
57.05	 302.421	 2.174	 302.031	 301.109	 304.337	 496.274	 5.109	 496.101	 492.881	 499.728	 66249.639	 1824.200	 66265.418	 65018.723	 67354.311
57.150000000000006	 293.073	 4.143	 294.079	 291.164	 295.695	 472.879	 37.091	 491.528	 441.504	 504.722	 63460.537	 4401.712	 64218.969	 60261.602	 66579.062
57.25	 287.828	 2.944	 287.768	 285.678	 289.747	 451.757	 9.759	 453.041	 446.937	 458.212	 55843.311	 2686.042	 56074.797	 54527.277	 57572.598
57.349999999999994	 293.037	 9.114	 295.254	 283.032	 301.152	 470.369	 12.122	 468.139	 461.156	 476.981	 70180.628	 10303.431	 72499.273	 59173.938	 78640.891
57.45	 300.180	 7.432	 302.496	 301.138	 304.775	 451.424	 20.291	 458.743	 454.074	 462.034	 72136.579	 4584.283	 72039.133	 70058.172	 74518.434
57.55	 276.770	 7.910	 273.704	 270.931	 279.847	 384.256	 33.515	 370.545	 359.832	 401.709	 63576.447	 9659.889	 61102.207	 56479.906	 70537.125
57.650000000000006	 276.086	 2.358	 275.708	 274.224	 278.303	 370.227	 9.570	 370.350	 363.798	 377.762	 51210.393	 5483.344	 50212.148	 48062.464	 53002.991
57.75	 277.747	 1.255	 277.565	 276.835	 278.447	 382.101	 6.029	 381.467	 377.924	 385.501	 49355.723	 2713.424	 49178.576	 47541.122	 51022.317
57.849999999999994	 279.339	 1.290	 279.372	 278.554	 280.074	 380.829	 5.508	 380.287	 377.299	 383.676	 47460.043	 2557.314	 47355.031	 45985.043	 48851.055
57.95	 280.165	 1.002	 280.196	 279.528	 280.753	 380.321	 4.416	 380.488	 377.810	 383.246	 47307.904	 2325.843	 47228.859	 45953.652	 48514.193
