r [Rsol]	 vr_mean [km/s]	 vr_stddev [km/s]	 vr_median [km/s]	 vr_q1 [km/s]	 vr_q3 [km/s]	 rho_mean [cm-3]	 rho_stddev [cm-3]	 rho_median [cm-3]	 rho_q1 [cm-3]	 rho_q3 [cm-3]	 T_mean [K]	 T_stddev [K]	 T_median [K]	 T_q1 [K]	 T_q3 [K]
41.650000000000006	 301.316	 49.633	 296.730	 250.964	 345.016	 367.022	 223.433	 320.589	 172.477	 526.287	 187006.453	 101251.161	 163329.227	 99773.320	 271130.148
41.75	 301.589	 52.342	 285.946	 255.310	 352.296	 355.294	 203.518	 330.858	 168.108	 454.633	 177489.912	 97532.788	 161997.844	 87708.148	 261603.656
41.849999999999994	 308.344	 60.003	 289.280	 254.757	 359.592	 336.686	 195.698	 280.718	 173.715	 437.872	 200613.777	 124518.504	 187872.000	 81503.496	 304602.203
41.95	 312.692	 66.076	 285.444	 252.647	 372.779	 313.884	 170.747	 293.967	 179.200	 390.708	 205445.531	 114034.672	 191579.297	 91146.312	 302138.688
42.05	 300.123	 66.948	 263.453	 245.765	 358.594	 363.060	 199.254	 321.744	 177.853	 544.390	 190178.773	 116398.650	 162382.031	 72166.570	 300175.031
42.150000000000006	 302.623	 65.067	 291.908	 247.889	 356.549	 369.424	 214.221	 306.116	 177.968	 566.775	 194793.718	 112545.548	 143828.328	 101586.551	 304631.148
42.25	 316.860	 61.012	 291.066	 270.393	 364.244	 297.230	 196.258	 201.077	 169.017	 336.360	 214103.871	 130577.208	 143407.867	 109385.582	 339499.641
42.349999999999994	 326.320	 42.921	 309.830	 298.084	 370.370	 245.279	 187.862	 170.450	 161.739	 188.075	 227906.082	 134813.603	 145601.852	 109665.068	 363531.516
42.45	 339.022	 70.253	 316.728	 300.293	 382.067	 204.201	 109.464	 171.208	 160.583	 192.694	 243565.801	 150176.633	 151465.922	 122461.127	 391330.297
42.55	 328.371	 68.274	 305.993	 271.628	 382.317	 209.568	 65.516	 189.949	 173.650	 262.107	 239457.278	 148712.472	 167951.969	 117691.543	 384194.305
42.650000000000006	 323.870	 38.765	 309.270	 297.398	 360.406	 258.330	 115.258	 237.589	 201.469	 267.068	 239503.312	 142781.192	 162832.258	 140901.531	 383840.773
42.75	 333.709	 56.342	 306.806	 297.254	 384.715	 279.437	 150.389	 243.986	 177.836	 294.122	 258726.675	 161839.326	 155846.609	 112586.348	 415606.203
42.849999999999994	 337.443	 67.952	 309.201	 285.396	 397.219	 275.400	 153.180	 240.809	 178.474	 278.181	 237838.013	 176486.992	 110808.469	 88449.043	 402245.109
42.95	 324.696	 63.266	 307.293	 276.162	 395.252	 263.055	 127.448	 239.148	 188.767	 265.966	 205979.497	 151819.209	 120032.422	 83077.094	 353148.281
43.05	 319.659	 68.784	 297.527	 272.750	 376.757	 222.450	 96.390	 197.622	 173.878	 251.273	 211408.779	 150464.732	 125066.219	 102038.459	 344061.844
43.150000000000006	 322.378	 68.396	 287.598	 272.132	 380.169	 256.623	 165.719	 226.664	 168.150	 266.305	 213215.280	 135315.131	 129888.699	 109721.562	 343556.758
43.25	 315.742	 69.457	 290.464	 257.324	 384.836	 244.568	 112.017	 224.299	 163.765	 303.933	 211150.597	 138293.890	 126080.086	 106843.197	 331204.070
43.349999999999994	 324.508	 70.426	 291.122	 279.524	 392.015	 229.621	 81.704	 215.385	 172.511	 252.471	 233710.847	 158734.978	 132657.312	 115475.193	 377823.633
43.45	 310.469	 58.203	 288.147	 272.838	 377.242	 244.069	 88.691	 240.292	 176.283	 267.275	 219869.218	 143913.167	 134852.500	 119379.484	 363800.594
43.55	 322.178	 58.387	 296.241	 290.095	 384.077	 218.089	 57.761	 222.195	 178.784	 234.822	 242688.072	 162761.584	 135047.539	 118138.684	 403681.664
43.650000000000006	 323.740	 63.280	 299.863	 258.202	 397.447	 202.489	 41.082	 215.350	 162.385	 230.175	 216557.897	 162589.669	 116942.172	 94380.615	 369898.844
43.75	 323.209	 62.835	 301.025	 269.822	 392.391	 199.949	 44.775	 210.684	 156.457	 228.420	 205150.618	 148983.525	 110974.258	 96226.648	 340129.250
43.849999999999994	 318.920	 66.198	 283.501	 269.116	 388.028	 206.949	 69.158	 199.857	 150.067	 269.300	 202246.400	 153520.308	 105353.059	 93779.844	 348586.266
43.95	 322.193	 63.727	 285.763	 275.694	 393.193	 183.310	 47.002	 190.356	 136.609	 219.239	 204880.510	 149312.385	 107219.406	 97061.656	 354514.531
44.05	 322.248	 65.127	 289.489	 270.477	 402.254	 181.815	 46.278	 189.140	 137.057	 210.206	 202027.350	 159772.159	 104761.602	 93260.984	 353400.719
44.150000000000006	 333.296	 77.849	 293.426	 279.731	 410.056	 186.188	 101.113	 173.381	 154.864	 187.014	 199862.080	 197541.404	 99827.215	 77668.113	 239760.898
44.25	 330.797	 69.858	 298.549	 284.527	 409.236	 199.956	 123.718	 169.364	 153.416	 182.147	 189832.075	 184288.361	 104826.551	 71151.572	 187406.586
44.349999999999994	 331.810	 75.578	 292.404	 281.792	 409.813	 211.190	 139.112	 174.773	 135.808	 195.100	 184816.787	 176509.015	 107629.391	 74572.801	 174632.098
44.45	 322.993	 74.610	 287.101	 279.955	 307.528	 224.993	 181.068	 176.259	 142.061	 200.335	 136971.642	 121346.083	 103985.516	 66931.422	 138518.633
44.55	 331.650	 68.727	 294.857	 287.294	 398.858	 165.717	 101.437	 161.672	 112.129	 181.014	 156799.379	 145321.655	 116101.016	 45414.312	 169958.270
44.650000000000006	 318.731	 57.643	 292.709	 284.379	 307.179	 153.508	 54.258	 164.269	 139.474	 173.049	 123103.890	 109757.005	 97749.078	 47221.500	 128531.281
44.75	 349.771	 86.826	 309.569	 287.985	 397.262	 144.292	 93.941	 147.386	 84.230	 168.542	 127841.194	 81070.667	 104517.453	 66824.131	 169742.277
44.849999999999994	 337.111	 72.147	 309.614	 279.765	 399.659	 176.893	 127.889	 170.670	 79.713	 193.220	 116974.425	 68194.683	 98908.547	 55136.924	 155944.410
