r [km] 	 vr [km/s] 
22261900.0 	 232.25123596191406
22261886.0 	 229.5629119873047
22261682.0 	 231.65631103515625
22261668.0 	 232.92283630371094
22261640.0 	 233.9132843017578
22261362.0 	 232.672607421875
22260926.0 	 237.6700439453125
22260912.0 	 235.5971221923828
22260896.0 	 243.40139770507812
22260868.0 	 254.98121643066406
22260838.0 	 250.04197692871094
22260678.0 	 258.9220886230469
22260154.0 	 239.9702606201172
22259688.0 	 244.6529541015625
22257360.0 	 237.86965942382812
22257344.0 	 236.55154418945312
22257288.0 	 237.97373962402344
22256938.0 	 240.67507934570312
22256924.0 	 239.6231231689453
22256906.0 	 245.48092651367188
22256892.0 	 240.24778747558594
22256806.0 	 236.6360626220703
22256792.0 	 238.3767852783203
22256748.0 	 239.77798461914062
22256734.0 	 240.7635498046875
22256718.0 	 244.16217041015625
22256660.0 	 240.51248168945312
22256648.0 	 239.305908203125
22256632.0 	 240.55577087402344
22256616.0 	 239.39112854003906
22256574.0 	 240.1990203857422
22256560.0 	 238.68307495117188
22256500.0 	 239.07858276367188
22256486.0 	 238.31719970703125
22256326.0 	 236.80935668945312
22256268.0 	 242.85308837890625
22256210.0 	 240.77598571777344
22256194.0 	 239.34742736816406
22256180.0 	 243.1257781982422
22256166.0 	 240.90966796875
22256092.0 	 240.71900939941406
22256078.0 	 236.0360565185547
22256062.0 	 234.95884704589844
22256050.0 	 234.8686065673828
22255890.0 	 234.60435485839844
22255874.0 	 234.73452758789062
22255830.0 	 237.50340270996094
22255818.0 	 237.6328125
22255802.0 	 236.45802307128906
22255788.0 	 234.6492919921875
22255774.0 	 237.05447387695312
22255760.0 	 237.46180725097656
22255744.0 	 236.83917236328125
22255730.0 	 235.19143676757812
22255366.0 	 244.693359375
22255350.0 	 243.2090301513672
22255336.0 	 247.1859893798828
22255278.0 	 252.4085693359375
22255190.0 	 246.42929077148438
22254872.0 	 239.2216339111328
22254798.0 	 238.5058135986328
22254784.0 	 238.55886840820312
22254768.0 	 241.92889404296875
22254754.0 	 241.01235961914062
22254740.0 	 240.59219360351562
22254724.0 	 240.33958435058594
22254624.0 	 238.578125
22254610.0 	 239.6171875
22254594.0 	 240.17398071289062
22254580.0 	 238.2070770263672
22254566.0 	 237.8158721923828
22254506.0 	 239.17733764648438
22254492.0 	 237.09877014160156
22254478.0 	 240.32469177246094
22254450.0 	 238.66903686523438
22254436.0 	 240.63662719726562
22254406.0 	 239.97293090820312
22254390.0 	 239.01528930664062
22254216.0 	 240.46519470214844
22254200.0 	 239.50851440429688
22254186.0 	 252.4715576171875
22253910.0 	 234.90379333496094
22253896.0 	 231.17364501953125
22253838.0 	 231.87942504882812
22253824.0 	 231.36813354492188
22253808.0 	 234.42333984375
22253446.0 	 233.9486846923828
22253300.0 	 244.36572265625
22252966.0 	 231.91270446777344
22252950.0 	 232.6017303466797
22252848.0 	 231.9743194580078
22252834.0 	 236.00198364257812
22252166.0 	 230.7539520263672
22252150.0 	 234.40924072265625
22251656.0 	 229.34600830078125
22251642.0 	 229.4442138671875
22251512.0 	 230.18551635742188
22251336.0 	 236.99520874023438
22250944.0 	 232.9584503173828
22250928.0 	 230.86534118652344
22250914.0 	 230.69403076171875
22250508.0 	 230.62208557128906
22250378.0 	 228.1995391845703
22250130.0 	 234.64572143554688
22250116.0 	 234.7661895751953
22250086.0 	 235.47003173828125
22249750.0 	 235.2847900390625
22249736.0 	 236.6213836669922
22249590.0 	 239.0519256591797
22249548.0 	 237.97882080078125
22249532.0 	 239.7284698486328
22249432.0 	 236.43113708496094
22249416.0 	 233.33010864257812
22249374.0 	 233.34120178222656
22249358.0 	 234.10008239746094
22249344.0 	 233.9536590576172
22249286.0 	 232.65660095214844
22249272.0 	 232.03501892089844
22249258.0 	 232.64080810546875
22249214.0 	 228.5838623046875
22249054.0 	 227.21681213378906
22249040.0 	 228.71182250976562
22248036.0 	 231.16517639160156
22248020.0 	 230.53656005859375
22248006.0 	 229.05743408203125
22247890.0 	 232.24728393554688
22247874.0 	 231.89382934570312
22247774.0 	 238.56991577148438
22247630.0 	 231.71241760253906
22247614.0 	 231.69403076171875
22247598.0 	 232.1000518798828
22247526.0 	 231.81271362304688
22247512.0 	 230.46505737304688
22247498.0 	 231.7062225341797
22247252.0 	 233.29452514648438
22247236.0 	 232.19383239746094
22247208.0 	 235.31532287597656
22247192.0 	 235.86375427246094
22247178.0 	 235.41903686523438
22247164.0 	 234.141357421875
22247148.0 	 234.00778198242188
22247062.0 	 234.35964965820312
22247048.0 	 234.42222595214844
22247034.0 	 243.8383026123047
22247004.0 	 236.11990356445312
22246902.0 	 233.41429138183594
22246886.0 	 232.9310302734375
22246874.0 	 236.8219451904297
22246728.0 	 230.49960327148438
22246712.0 	 232.1952667236328
22246682.0 	 230.16506958007812
22246670.0 	 231.0206298828125
22246656.0 	 230.33396911621094
22246436.0 	 235.37155151367188
22246394.0 	 233.8704071044922
22246248.0 	 229.63528442382812
22246044.0 	 231.56149291992188
22246030.0 	 233.265869140625
22245842.0 	 232.71878051757812
22245812.0 	 231.79254150390625
22245754.0 	 233.349853515625
22245360.0 	 239.1446533203125
22245346.0 	 239.89315795898438
22245288.0 	 230.73207092285156
22244504.0 	 234.65054321289062
22244474.0 	 230.69366455078125
22244374.0 	 232.02703857421875
22244330.0 	 229.73924255371094
22244200.0 	 226.55189514160156
22244184.0 	 228.42796325683594
22244098.0 	 230.56704711914062
22244082.0 	 229.61129760742188
22243340.0 	 233.3131561279297
22243224.0 	 238.48025512695312
22243022.0 	 240.2257080078125
22243006.0 	 239.4436492919922
22242876.0 	 237.02084350585938
22242862.0 	 246.18885803222656
