r [km] 	 vr [km/s] 
34089288.0 	 361.9084777832031
34089248.0 	 360.72479248046875
34089228.0 	 355.79498291015625
34089208.0 	 355.6263122558594
34089188.0 	 358.5950927734375
34089164.0 	 358.6715087890625
34089144.0 	 358.7306213378906
34089124.0 	 356.6843566894531
34089108.0 	 351.6364440917969
34089084.0 	 354.44622802734375
34089064.0 	 365.30633544921875
34089044.0 	 364.3816223144531
34089024.0 	 364.21575927734375
34089004.0 	 355.19610595703125
34088984.0 	 354.9253845214844
34088964.0 	 357.3735656738281
34088944.0 	 358.82293701171875
34088920.0 	 358.8200988769531
34088900.0 	 363.038330078125
34088880.0 	 358.92694091796875
34088860.0 	 357.832763671875
34088840.0 	 357.294189453125
34088820.0 	 356.1035461425781
34088800.0 	 355.47686767578125
34088780.0 	 360.2840270996094
34088756.0 	 359.5662536621094
34088740.0 	 355.938720703125
34088720.0 	 356.4435729980469
34088700.0 	 358.2884826660156
34088680.0 	 364.7198181152344
34088656.0 	 362.0914306640625
34088636.0 	 363.65643310546875
34088616.0 	 361.8667907714844
34088576.0 	 357.76483154296875
34088556.0 	 358.83306884765625
34088536.0 	 355.4886169433594
34088512.0 	 354.7953796386719
34088492.0 	 359.2512512207031
34088476.0 	 357.6781311035156
34088452.0 	 361.90032958984375
34088432.0 	 368.2314147949219
34088412.0 	 359.3321533203125
34088392.0 	 356.61480712890625
34088372.0 	 367.4408874511719
34088352.0 	 357.355712890625
34088332.0 	 363.3102111816406
34088312.0 	 362.7328186035156
34088292.0 	 361.8080749511719
34088272.0 	 366.167724609375
34088252.0 	 364.447998046875
34088232.0 	 363.66082763671875
34088212.0 	 372.23651123046875
34088192.0 	 365.73388671875
34088172.0 	 368.9793395996094
34088148.0 	 361.1097412109375
34088128.0 	 360.45599365234375
34088108.0 	 360.6544494628906
34088088.0 	 360.0819396972656
34088068.0 	 360.3794860839844
34088048.0 	 359.811767578125
34088028.0 	 366.2765197753906
34088008.0 	 369.36407470703125
34087988.0 	 361.85992431640625
34087968.0 	 363.23138427734375
34087948.0 	 365.38897705078125
34087908.0 	 365.5497741699219
34087884.0 	 354.5498962402344
34087864.0 	 362.1272277832031
34087848.0 	 359.7005920410156
34087824.0 	 349.0924072265625
34087804.0 	 363.07269287109375
34087784.0 	 363.4681701660156
34087764.0 	 360.9592590332031
34087744.0 	 359.8631591796875
34087724.0 	 355.3968505859375
34087704.0 	 357.21893310546875
34087684.0 	 365.0104064941406
34087664.0 	 361.7421875
34087644.0 	 363.84197998046875
34087624.0 	 357.91900634765625
34087604.0 	 368.1169738769531
34087584.0 	 368.3887939453125
34087560.0 	 363.22332763671875
34087540.0 	 356.50775146484375
34087516.0 	 361.599609375
34087496.0 	 364.1269836425781
34087480.0 	 363.8448181152344
34087456.0 	 358.6868896484375
34087436.0 	 359.4030456542969
34087416.0 	 358.00396728515625
34087396.0 	 360.43878173828125
34087376.0 	 365.09283447265625
34087356.0 	 355.4831237792969
34087336.0 	 356.8096923828125
34087316.0 	 357.5428466796875
34087296.0 	 365.00372314453125
34087276.0 	 363.0683288574219
34087232.0 	 362.7756652832031
34087216.0 	 360.5897521972656
34087196.0 	 357.7660827636719
34087176.0 	 355.1371765136719
34087152.0 	 365.27215576171875
34087132.0 	 365.45953369140625
34087112.0 	 360.6109313964844
34087092.0 	 352.38525390625
34087072.0 	 346.8246154785156
34087052.0 	 346.0157470703125
34087032.0 	 342.93359375
34087012.0 	 361.86248779296875
34086992.0 	 363.6840515136719
34086972.0 	 362.0037841796875
34086952.0 	 359.2861022949219
34086932.0 	 358.2877197265625
34086912.0 	 360.0838928222656
34086888.0 	 360.6333923339844
34086868.0 	 364.3479309082031
34086848.0 	 361.95928955078125
34086832.0 	 365.8716735839844
34086812.0 	 350.020751953125
34086788.0 	 351.0266418457031
34086768.0 	 354.1502380371094
34086748.0 	 353.0453796386719
34086728.0 	 365.1493835449219
34086708.0 	 364.90411376953125
34086688.0 	 359.7640380859375
34086668.0 	 367.56109619140625
34086648.0 	 354.0077819824219
34086628.0 	 362.30596923828125
34086604.0 	 361.10113525390625
34086564.0 	 366.6686096191406
34086544.0 	 358.0797424316406
34086524.0 	 358.6260070800781
34086504.0 	 360.3327941894531
34086484.0 	 369.19110107421875
34086464.0 	 363.2532043457031
34086444.0 	 366.63946533203125
34086424.0 	 363.2378845214844
34086404.0 	 364.11077880859375
34086384.0 	 365.8459777832031
34086360.0 	 354.9447326660156
34086344.0 	 363.8053283691406
34086324.0 	 362.5113525390625
34086300.0 	 358.5774841308594
34086280.0 	 357.5252380371094
34086260.0 	 360.67596435546875
34086240.0 	 358.92559814453125
34086220.0 	 360.30133056640625
34086200.0 	 364.1478271484375
34086180.0 	 351.745361328125
34086160.0 	 354.5278015136719
34086140.0 	 362.9402160644531
34086120.0 	 359.92633056640625
34086096.0 	 357.4852600097656
34086076.0 	 356.3675231933594
34086056.0 	 358.0610656738281
34086036.0 	 360.58721923828125
34086016.0 	 357.7041015625
34085996.0 	 351.5543518066406
34085976.0 	 353.8133239746094
34085956.0 	 358.6659240722656
34085936.0 	 356.36065673828125
34085896.0 	 355.53167724609375
34085876.0 	 362.9437561035156
34085852.0 	 358.3856201171875
34085836.0 	 364.9647521972656
34085816.0 	 365.96771240234375
34085792.0 	 362.10333251953125
34085772.0 	 367.44384765625
34085752.0 	 357.0946960449219
34085732.0 	 350.0072021484375
34085712.0 	 355.9165344238281
34085692.0 	 363.8987121582031
34085672.0 	 355.7882080078125
34085648.0 	 363.9088134765625
34085628.0 	 362.1887512207031
34085608.0 	 364.4400939941406
34085588.0 	 355.58392333984375
34085568.0 	 364.4664611816406
34085548.0 	 359.4617614746094
34085528.0 	 361.9743347167969
34085508.0 	 363.4681091308594
34085488.0 	 363.5173034667969
34085468.0 	 359.6095886230469
34085448.0 	 352.6412048339844
34085428.0 	 358.32080078125
34085408.0 	 356.2962951660156
34085388.0 	 356.8699645996094
34085364.0 	 360.4355773925781
34085344.0 	 361.75018310546875
34085328.0 	 367.1861877441406
34085308.0 	 362.1383056640625
34085284.0 	 365.6778564453125
34085264.0 	 359.25848388671875
34085224.0 	 368.17529296875
34085204.0 	 366.6104736328125
34085184.0 	 361.1198425292969
34085164.0 	 365.45806884765625
34085144.0 	 366.08184814453125
34085124.0 	 359.802001953125
34085104.0 	 351.9129943847656
34085084.0 	 356.04510498046875
34085064.0 	 342.088134765625
34085044.0 	 349.8529052734375
34085024.0 	 355.2561340332031
34085000.0 	 362.2976989746094
34084980.0 	 357.29754638671875
34084960.0 	 356.4073486328125
34084944.0 	 359.5934753417969
34084920.0 	 359.1107177734375
34084900.0 	 358.2591552734375
34084880.0 	 361.3362121582031
34084860.0 	 351.72186279296875
34084840.0 	 356.8479309082031
34084820.0 	 356.2085266113281
34084800.0 	 360.2354736328125
34084780.0 	 358.0603332519531
34084760.0 	 363.357177734375
34084740.0 	 361.28070068359375
34084716.0 	 365.8796081542969
34084696.0 	 362.5990905761719
34084676.0 	 369.9221496582031
34084652.0 	 366.9868469238281
34084632.0 	 365.3418273925781
34084612.0 	 365.3724365234375
34084592.0 	 358.989990234375
34084552.0 	 367.46929931640625
34084532.0 	 361.35382080078125
34084512.0 	 368.39666748046875
34084492.0 	 355.5167541503906
34084472.0 	 369.7755432128906
34084452.0 	 365.0838623046875
34084432.0 	 362.94940185546875
34084412.0 	 364.435791015625
34084392.0 	 364.1031494140625
34084372.0 	 360.0106201171875
34084348.0 	 359.9478454589844
34084328.0 	 361.3844909667969
34084312.0 	 361.4825744628906
34084292.0 	 365.70489501953125
34084268.0 	 369.2276306152344
34084248.0 	 361.2345886230469
34084228.0 	 356.7109069824219
34084208.0 	 362.6350402832031
34084188.0 	 361.2117614746094
34084168.0 	 358.5184020996094
34084148.0 	 363.6586608886719
34084128.0 	 361.787109375
34084108.0 	 369.1883850097656
34084088.0 	 360.0516052246094
34084068.0 	 368.1610412597656
34084048.0 	 371.6668701171875
34084028.0 	 361.8848876953125
34084008.0 	 357.1962890625
34083984.0 	 362.230224609375
34083964.0 	 361.36181640625
34083944.0 	 359.045654296875
34083924.0 	 352.3939514160156
34083884.0 	 366.50677490234375
34083864.0 	 361.3670654296875
34083844.0 	 363.5695495605469
34083820.0 	 366.4780578613281
34083804.0 	 369.0254211425781
34083784.0 	 360.50347900390625
34083760.0 	 355.97076416015625
34083740.0 	 349.3551330566406
34083720.0 	 352.8935852050781
34083700.0 	 352.1819152832031
34083680.0 	 355.04718017578125
34083660.0 	 352.110107421875
34083640.0 	 346.44537353515625
34083620.0 	 352.586181640625
34083600.0 	 348.07452392578125
34083580.0 	 356.2709655761719
34083560.0 	 346.75079345703125
34083540.0 	 350.595947265625
34083520.0 	 346.49163818359375
34083496.0 	 354.81500244140625
34083476.0 	 345.9665832519531
34083456.0 	 355.5873718261719
34083436.0 	 347.17669677734375
34083420.0 	 356.4101867675781
34083396.0 	 350.2045593261719
34083376.0 	 352.6161193847656
34083356.0 	 349.23614501953125
34083336.0 	 356.940185546875
34083316.0 	 352.3805236816406
34083296.0 	 350.3318176269531
34083276.0 	 342.413330078125
34083256.0 	 350.675048828125
34083212.0 	 347.1436767578125
34083192.0 	 350.6270751953125
34083172.0 	 354.82080078125
34083152.0 	 354.8580627441406
34083132.0 	 354.0119323730469
34083112.0 	 352.9605407714844
34083092.0 	 363.364501953125
34083072.0 	 361.3849792480469
34083052.0 	 360.3973388671875
34083032.0 	 357.005859375
34083012.0 	 359.88323974609375
34082992.0 	 356.91363525390625
34082968.0 	 363.74005126953125
34082948.0 	 355.60565185546875
34082928.0 	 365.04522705078125
34082908.0 	 357.64031982421875
34082888.0 	 358.12646484375
34082868.0 	 356.47357177734375
34082848.0 	 355.2983093261719
34082824.0 	 364.6130676269531
34082804.0 	 358.0920104980469
34082788.0 	 362.6791687011719
34082764.0 	 352.1417236328125
34082744.0 	 361.2442321777344
34082724.0 	 353.3546447753906
34082704.0 	 358.5964660644531
34082684.0 	 351.9523620605469
34082664.0 	 364.0327453613281
34082644.0 	 358.1645812988281
34082624.0 	 353.5049133300781
34082604.0 	 356.1017150878906
34082584.0 	 356.51922607421875
34082544.0 	 353.05816650390625
34082524.0 	 362.3063049316406
34082504.0 	 366.58001708984375
34082484.0 	 354.1513977050781
34082460.0 	 354.7200622558594
34082440.0 	 358.05987548828125
34082420.0 	 354.16790771484375
34082400.0 	 357.4391174316406
34082380.0 	 352.0047912597656
34082360.0 	 362.0021667480469
34082340.0 	 351.38409423828125
34082320.0 	 357.01885986328125
34082300.0 	 356.0908203125
34082280.0 	 359.602294921875
34082260.0 	 353.76116943359375
34082240.0 	 363.3048400878906
34082220.0 	 355.9403991699219
34082200.0 	 365.5169677734375
34082176.0 	 357.2414245605469
34082160.0 	 361.56207275390625
34082140.0 	 359.7304992675781
34082120.0 	 359.0826416015625
34082096.0 	 354.3088684082031
34082076.0 	 363.78900146484375
34082056.0 	 359.192626953125
34082036.0 	 359.400634765625
34082016.0 	 353.3106689453125
34081996.0 	 362.4906921386719
34081972.0 	 361.9076232910156
34081956.0 	 359.80712890625
34081932.0 	 365.32928466796875
34081912.0 	 355.97283935546875
34081872.0 	 360.4610900878906
34081852.0 	 362.6902160644531
34081832.0 	 358.6988830566406
34081812.0 	 357.34100341796875
34081792.0 	 363.7596435546875
34081772.0 	 353.44903564453125
34081752.0 	 364.1082763671875
34081728.0 	 354.1438903808594
34081708.0 	 359.69775390625
34081688.0 	 354.2464599609375
34081668.0 	 359.9466247558594
34081648.0 	 352.51885986328125
34081628.0 	 362.8469543457031
34081608.0 	 355.5668640136719
34081588.0 	 353.70263671875
34081568.0 	 358.01934814453125
34081548.0 	 357.3251037597656
34081528.0 	 361.4864196777344
34081508.0 	 363.1067199707031
34081488.0 	 355.88433837890625
34081468.0 	 358.1248779296875
34081444.0 	 355.71234130859375
34081424.0 	 357.0461730957031
34081404.0 	 361.5124816894531
34081388.0 	 357.7166442871094
34081364.0 	 361.4971618652344
34081344.0 	 358.59893798828125
34081324.0 	 357.5934143066406
34081304.0 	 361.7710266113281
34081284.0 	 354.9692687988281
34081264.0 	 360.7577819824219
34081244.0 	 357.90277099609375
34081200.0 	 362.5348815917969
34081180.0 	 365.7106018066406
34081160.0 	 357.7127990722656
34081140.0 	 358.7719421386719
34081120.0 	 359.31512451171875
34081100.0 	 359.56744384765625
34081080.0 	 357.87786865234375
34081060.0 	 364.9990234375
34081040.0 	 364.550048828125
34081020.0 	 360.4968566894531
34081000.0 	 364.9776611328125
34080980.0 	 360.5085754394531
34080960.0 	 359.1343078613281
34080936.0 	 355.7191467285156
34080916.0 	 360.9247741699219
34080896.0 	 367.2226257324219
34080876.0 	 359.985107421875
34080856.0 	 364.07293701171875
34080836.0 	 366.0767517089844
34080816.0 	 366.04669189453125
34080796.0 	 364.5415954589844
34080776.0 	 368.5080261230469
34080756.0 	 357.7191162109375
34080736.0 	 360.3647766113281
34080716.0 	 370.7226257324219
34080696.0 	 367.89263916015625
34080676.0 	 360.1949157714844
34080652.0 	 369.099609375
34080636.0 	 365.1929016113281
34080616.0 	 364.37396240234375
34080596.0 	 360.7049865722656
34080572.0 	 361.8804626464844
34080532.0 	 357.2976379394531
34080512.0 	 356.50927734375
34080492.0 	 354.5979919433594
34080472.0 	 357.895263671875
34080452.0 	 361.84832763671875
34080432.0 	 354.063232421875
34080412.0 	 364.8673400878906
34080392.0 	 354.4638366699219
34080372.0 	 356.5049743652344
34080348.0 	 362.3500671386719
34080328.0 	 357.2531433105469
34080308.0 	 356.95098876953125
34080284.0 	 359.20172119140625
34080264.0 	 354.8017578125
34080248.0 	 353.8631591796875
34080228.0 	 356.64337158203125
34080204.0 	 356.2565612792969
34080184.0 	 354.4796142578125
34080164.0 	 354.4597473144531
34080144.0 	 359.5671081542969
34080124.0 	 356.0513610839844
34080104.0 	 357.4314270019531
34080084.0 	 355.2798767089844
34080064.0 	 360.3291320800781
34080044.0 	 354.31060791015625
34080024.0 	 355.3792419433594
34080004.0 	 356.734619140625
34079984.0 	 349.4001770019531
34079964.0 	 350.75970458984375
34079944.0 	 359.5062255859375
34079920.0 	 352.0884094238281
34079900.0 	 349.67791748046875
34079864.0 	 350.0349426269531
34079840.0 	 361.0342102050781
34079820.0 	 359.5369873046875
34079800.0 	 361.03790283203125
34079780.0 	 359.8725891113281
