r [km] 	 vr [km/s] 
21566678.0 	 261.76263427734375
21566338.0 	 278.38037109375
21566010.0 	 269.12457275390625
21565026.0 	 280.187255859375
21565014.0 	 296.241455078125
21562546.0 	 329.33087158203125
21561810.0 	 314.2223815917969
21561798.0 	 311.49981689453125
21561680.0 	 347.5778503417969
21561668.0 	 370.3681335449219
21560382.0 	 296.3576965332031
21559516.0 	 303.31768798828125
21559084.0 	 293.605224609375
21558992.0 	 280.3290100097656
21558218.0 	 277.2854919433594
21557786.0 	 282.1098327636719
21557774.0 	 274.44915771484375
21557352.0 	 264.6836853027344
21557342.0 	 269.765625
21556922.0 	 271.2545471191406
21556582.0 	 378.28546142578125
21556148.0 	 250.37136840820312
21556136.0 	 257.2586975097656
21555626.0 	 297.2290344238281
21555194.0 	 278.8702087402344
21554760.0 	 308.58062744140625
21553894.0 	 296.798828125
21553464.0 	 312.8188171386719
21552770.0 	 248.38059997558594
21552756.0 	 251.324951171875
21552742.0 	 249.626953125
21552730.0 	 246.4435272216797
21552718.0 	 246.4299774169922
21552600.0 	 257.8431701660156
21552140.0 	 253.45382690429688
21552128.0 	 252.7150421142578
21552102.0 	 248.6507110595703
21552088.0 	 249.91075134277344
21552076.0 	 250.04461669921875
21552022.0 	 253.92787170410156
21551932.0 	 257.8992614746094
21551918.0 	 251.1515655517578
21551904.0 	 248.9849395751953
21551892.0 	 250.2313690185547
21551880.0 	 254.1318359375
21551866.0 	 249.4521942138672
21551854.0 	 256.83819580078125
21551812.0 	 256.0078125
21551800.0 	 251.6764678955078
21551746.0 	 252.14996337890625
21551578.0 	 259.5711975097656
21551564.0 	 260.4229736328125
21551552.0 	 257.429443359375
21551540.0 	 253.15016174316406
21551472.0 	 257.9281311035156
21551460.0 	 253.12644958496094
21551448.0 	 250.7433319091797
21551422.0 	 248.80728149414062
21551408.0 	 252.8131561279297
21551394.0 	 252.95433044433594
21551382.0 	 253.99989318847656
21551368.0 	 254.53555297851562
21551356.0 	 253.78395080566406
21551342.0 	 250.2383575439453
21551330.0 	 252.1400909423828
21551314.0 	 251.31832885742188
21551304.0 	 256.2488708496094
21551290.0 	 251.58224487304688
21551276.0 	 250.66957092285156
21551264.0 	 253.15614318847656
21551250.0 	 252.10589599609375
21551198.0 	 250.25511169433594
21551184.0 	 253.32919311523438
21551174.0 	 258.2563171386719
21551132.0 	 256.5320129394531
