r [km]	 vr [km/s]	 np [cm-3]	 T [K]
29914670.0	 283.9616394042969	 200.14390563964844	 180617.96875
29914650.0	 288.31964111328125	 200.3372039794922	 198444.03125
29914628.0	 292.09527587890625	 159.72579956054688	 126067.2421875
29914330.0	 303.29412841796875	 186.0176239013672	 177600.0
29914310.0	 298.68792724609375	 213.480712890625	 221981.15625
29914290.0	 299.38519287109375	 203.6508026123047	 203218.8125
29914270.0	 306.7887268066406	 191.74859619140625	 178099.25
29914250.0	 303.8141784667969	 212.770751953125	 200224.890625
29914230.0	 301.774658203125	 220.85687255859375	 206096.421875
29914210.0	 303.74298095703125	 215.98175048828125	 193531.765625
29914190.0	 301.55084228515625	 218.88714599609375	 200929.71875
29914170.0	 296.2772216796875	 221.8321075439453	 219322.0
29914150.0	 300.10162353515625	 212.5242156982422	 216356.84375
29914010.0	 294.1215515136719	 218.84622192382812	 225064.421875
29913990.0	 295.19708251953125	 213.34805297851562	 221064.5625
29913388.0	 291.9894104003906	 207.266845703125	 236062.40625
29913350.0	 288.1385803222656	 217.45010375976562	 262796.875
29912990.0	 296.04046630859375	 200.19869995117188	 207572.765625
29912972.0	 296.6714172363281	 200.9487762451172	 207596.109375
29912728.0	 299.2207336425781	 200.818603515625	 202592.46875
29912690.0	 296.86920166015625	 205.5601348876953	 223829.625
29912190.0	 297.2253112792969	 204.1215362548828	 204831.078125
29912168.0	 295.18255615234375	 205.66351318359375	 210213.84375
29912146.0	 294.70001220703125	 201.3461151123047	 202220.34375
29912128.0	 291.96282958984375	 204.2872314453125	 214011.859375
29912108.0	 298.4170227050781	 176.91184997558594	 166523.125
29912068.0	 298.73583984375	 174.0866241455078	 159721.09375
29912028.0	 292.4198913574219	 201.30810546875	 220486.375
29911568.0	 293.4056091308594	 198.25213623046875	 211362.9375
29911550.0	 290.6119384765625	 207.9083251953125	 235891.109375
29911370.0	 292.44580078125	 206.5464324951172	 209451.734375
29911348.0	 289.2059326171875	 218.9484405517578	 248374.484375
29911028.0	 300.9676818847656	 178.1474151611328	 173996.5
29911006.0	 292.9888610839844	 210.0424041748047	 218899.6875
29910988.0	 288.73065185546875	 220.21730041503906	 263664.28125
29910708.0	 289.7891540527344	 199.8716583251953	 221469.734375
29910188.0	 296.77935791015625	 170.55844116210938	 158079.875
29910048.0	 294.6305847167969	 199.29075622558594	 222635.796875
29909850.0	 291.62127685546875	 207.29379272460938	 230834.203125
29909828.0	 298.81182861328125	 195.91769409179688	 195738.640625
29909806.0	 301.7073974609375	 177.0847930908203	 169679.40625
29909548.0	 286.8143005371094	 211.55674743652344	 227272.984375
29909528.0	 292.1468811035156	 199.3758087158203	 210723.5625
29909506.0	 289.4610900878906	 206.98934936523438	 223581.53125
29909390.0	 287.7634582519531	 212.82102966308594	 243319.5625
29908728.0	 286.91754150390625	 215.41259765625	 275234.0625
29908648.0	 292.1375427246094	 201.29135131835938	 199881.234375
29908628.0	 292.2301940917969	 205.90740966796875	 235793.28125
29908528.0	 301.8416748046875	 174.59844970703125	 172862.1875
