START:	 56.5
END:	 57.0

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
39307072.0	 293.74969482421875	 505.23040771484375	 68865.390625
39307156.0	 293.8114318847656	 505.16912841796875	 67296.5625
39307248.0	 294.2784118652344	 504.41778564453125	 66537.1015625
39307336.0	 293.3105163574219	 501.6222229003906	 67006.1484375
39307424.0	 292.9646301269531	 496.87078857421875	 64683.92578125
39307516.0	 293.6296081542969	 504.1144714355469	 68548.515625
39307608.0	 293.6481628417969	 502.2047119140625	 66033.6796875
39307700.0	 293.7916564941406	 504.4637451171875	 66387.0078125
39307784.0	 293.4678955078125	 503.6015625	 66985.3203125
39307872.0	 293.7311706542969	 505.89605712890625	 67188.1171875
39307968.0	 293.4097595214844	 506.91888427734375	 67791.546875
39308052.0	 292.8751525878906	 513.7537841796875	 69002.109375
39308144.0	 292.2508850097656	 506.3498840332031	 66528.84375
39308236.0	 292.2668151855469	 500.3046875	 67592.6328125
39308324.0	 292.4649658203125	 504.3390808105469	 69188.640625
39308412.0	 293.31622314453125	 503.99169921875	 66104.1484375
39308500.0	 292.2364501953125	 502.91851806640625	 68794.859375
39308588.0	 291.94305419921875	 510.35577392578125	 70194.0078125
39308680.0	 291.7953796386719	 507.49200439453125	 69875.765625
39308772.0	 291.51348876953125	 511.719970703125	 69963.3984375
39308860.0	 291.7857666015625	 507.0538330078125	 70694.71875
39308948.0	 292.05914306640625	 491.40740966796875	 63732.57421875
39309128.0	 295.0188293457031	 506.3369140625	 66183.4375
39309216.0	 293.7676696777344	 509.8912658691406	 68996.921875
39309304.0	 293.66961669921875	 513.7130126953125	 69429.3125
39309396.0	 294.03692626953125	 514.250244140625	 68437.96875
39309484.0	 293.899658203125	 523.8995361328125	 75748.4609375
39309576.0	 294.28192138671875	 519.4944458007812	 69852.21875
39309664.0	 294.669677734375	 517.42626953125	 70512.5625
39309752.0	 294.055908203125	 516.4281005859375	 71252.3046875
39309848.0	 293.75274658203125	 515.6814575195312	 70849.6484375
39309932.0	 293.2153015136719	 509.3529968261719	 68141.921875
39310028.0	 292.4664611816406	 511.1176452636719	 69935.5859375
39310116.0	 292.0718994140625	 510.0403747558594	 68456.90625
39310200.0	 294.24090576171875	 521.4458618164062	 70934.53125
39310296.0	 293.885986328125	 512.827392578125	 67799.4765625
39310384.0	 293.66650390625	 518.5526123046875	 71049.34375
39310472.0	 294.0974426269531	 518.154541015625	 71015.375
39310560.0	 293.31427001953125	 520.9691162109375	 72355.7578125
39310652.0	 294.03509521484375	 528.3768310546875	 71945.1953125
39310744.0	 293.430419921875	 515.764404296875	 69510.1640625
39310828.0	 293.9906921386719	 519.5337524414062	 70745.78125
39310920.0	 293.8775634765625	 522.13623046875	 72204.2890625
39311008.0	 294.0100402832031	 527.96240234375	 72627.90625
39311100.0	 293.42431640625	 507.590576171875	 69619.03125
39311188.0	 292.83831787109375	 510.3251037597656	 68575.1953125
39311280.0	 294.5581359863281	 516.8707885742188	 69296.796875
39311364.0	 294.7955627441406	 511.9119567871094	 68564.6328125
39311460.0	 294.5721435546875	 512.642578125	 69103.421875
39311548.0	 293.4061279296875	 508.3026428222656	 69673.375
39311632.0	 294.5694274902344	 513.843017578125	 68978.140625
39311724.0	 294.3173828125	 521.5895385742188	 70161.25
39311812.0	 295.0948791503906	 510.5794677734375	 68732.0859375
39311908.0	 295.32806396484375	 515.0292358398438	 68941.8828125
39312084.0	 297.0154724121094	 523.4842529296875	 68598.59375
39312172.0	 301.3769226074219	 512.8963623046875	 64819.95703125
39312260.0	 301.5345764160156	 501.2525939941406	 58168.18359375
39312352.0	 301.2548522949219	 508.47442626953125	 60292.03515625
39312444.0	 301.6252746582031	 516.8612670898438	 63653.94921875
39312532.0	 303.00128173828125	 502.7268981933594	 59740.91015625
