START:	 57.300000000000544
END:	 57.400000000000546

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
39863640.0	 281.98468017578125	 458.0271911621094	 55681.8125
39863728.0	 281.8381652832031	 459.1958923339844	 57980.9140625
39863816.0	 281.28155517578125	 458.0273132324219	 56701.30078125
39863908.0	 282.2409973144531	 454.0747985839844	 54950.98046875
39863996.0	 282.42559814453125	 459.8779296875	 55824.9921875
39864084.0	 282.1604919433594	 459.2112731933594	 56660.11328125
39864176.0	 282.2906494140625	 460.7551574707031	 56515.953125
39864260.0	 282.24456787109375	 457.3340148925781	 55407.99609375
39864352.0	 281.65850830078125	 457.7196044921875	 57934.3046875
39864440.0	 281.4338073730469	 461.9506530761719	 56843.3671875
39864528.0	 282.03717041015625	 452.9652099609375	 55424.66015625
39864620.0	 282.0087585449219	 455.5624084472656	 56768.4453125
39864708.0	 281.9825744628906	 462.3870544433594	 56390.93359375
39864796.0	 281.69085693359375	 461.2240295410156	 58455.62890625
39864888.0	 281.9894104003906	 456.9898681640625	 55223.51171875
39864972.0	 281.31781005859375	 462.2110595703125	 57541.6171875
39865064.0	 281.4659729003906	 460.7516784667969	 55327.35546875
39865156.0	 281.81512451171875	 456.84832763671875	 56143.109375
39865240.0	 281.30096435546875	 461.98284912109375	 56864.45703125
39865332.0	 281.31707763671875	 460.00323486328125	 57389.54296875
39865420.0	 281.658447265625	 463.030029296875	 56718.03515625
39865508.0	 282.3856201171875	 461.4161376953125	 56266.12890625
39865600.0	 283.3453063964844	 458.5749816894531	 56092.96484375
39865688.0	 283.1900329589844	 458.847900390625	 57988.3046875
39865868.0	 283.7151794433594	 460.8005676269531	 57611.46875
39865952.0	 283.2271728515625	 464.0465393066406	 56984.59375
39866044.0	 283.3421936035156	 467.93170166015625	 60260.76171875
39866132.0	 283.818115234375	 459.06842041015625	 58784.421875
39866220.0	 283.86395263671875	 464.05767822265625	 56801.1171875
39866312.0	 283.4509582519531	 460.3732604980469	 58000.3515625
39866400.0	 283.5556945800781	 462.8521728515625	 58223.4921875
39866488.0	 282.8839416503906	 460.6349182128906	 58099.84375
39866580.0	 282.9342346191406	 464.0852966308594	 60032.48046875
39866664.0	 284.0843811035156	 449.3902282714844	 56792.0078125
39866756.0	 283.2495422363281	 454.3089294433594	 56274.48828125
39866844.0	 283.0480041503906	 456.8643798828125	 58677.3203125
