START:	 41.30000000000032
END:	 41.40000000000032

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
28801970.0	 359.1269836425781	 170.83074951171875	 298176.59375
28801946.0	 369.0560302734375	 160.0879364013672	 244865.59375
28801918.0	 363.5269470214844	 167.36422729492188	 342830.625
28801896.0	 358.1039733886719	 181.39794921875	 362992.0625
28801870.0	 363.6934814453125	 160.3539276123047	 245339.671875
28801846.0	 355.6636962890625	 177.2010040283203	 305174.53125
28801822.0	 363.8092956542969	 158.830078125	 227741.171875
28801796.0	 360.3426208496094	 173.02069091796875	 326328.15625
28801772.0	 362.9792785644531	 163.7529754638672	 249341.96875
28801746.0	 359.0642395019531	 175.74075317382812	 293154.96875
28801722.0	 356.35760498046875	 176.29891967773438	 304348.0625
28801698.0	 359.6878662109375	 178.92051696777344	 287113.15625
28801672.0	 358.6822814941406	 180.76290893554688	 359945.4375
28801648.0	 362.04949951171875	 158.56912231445312	 255224.171875
28801622.0	 358.2315368652344	 172.6520538330078	 288365.625
28801598.0	 352.9334716796875	 189.13870239257812	 349174.34375
28801574.0	 354.5891418457031	 180.20947265625	 386086.34375
28801548.0	 364.32086181640625	 167.78692626953125	 262841.375
28801524.0	 364.2644348144531	 172.16250610351562	 275579.96875
28801500.0	 364.1759033203125	 178.86692810058594	 305615.8125
28801476.0	 356.33819580078125	 173.37034606933594	 293545.53125
28801452.0	 357.1293640136719	 178.06825256347656	 268158.125
28801424.0	 369.2223205566406	 159.02723693847656	 246973.40625
28801402.0	 370.932373046875	 163.96351623535156	 293478.78125
28801352.0	 365.9640808105469	 176.77769470214844	 301969.15625
28801326.0	 363.142578125	 173.9303741455078	 293816.34375
28801252.0	 371.08740234375	 161.4991912841797	 223241.203125
28801228.0	 365.244384765625	 168.7499542236328	 263425.5
28801202.0	 367.3085632324219	 166.92623901367188	 246811.6875
28801178.0	 369.8748779296875	 172.44973754882812	 257313.953125
28801154.0	 366.3329772949219	 170.50791931152344	 272687.6875
28801128.0	 360.51544189453125	 173.7319793701172	 318340.03125
28801104.0	 361.80877685546875	 179.6500701904297	 308974.0625
28801054.0	 364.53192138671875	 180.38922119140625	 315490.65625
28801030.0	 372.79595947265625	 159.8782958984375	 232328.1875
28801006.0	 362.94671630859375	 174.75238037109375	 325517.8125
28800956.0	 366.29766845703125	 171.56690979003906	 269616.21875
28800930.0	 365.7753601074219	 174.7030029296875	 335080.4375
28800906.0	 372.8050842285156	 160.36781311035156	 260606.171875
28800880.0	 369.927490234375	 155.57373046875	 212570.9375
28800854.0	 374.365234375	 159.37924194335938	 237784.65625
28800832.0	 366.7619323730469	 170.96334838867188	 322675.1875
28800806.0	 375.4910888671875	 165.19456481933594	 244291.1875
28800782.0	 372.0597229003906	 162.65350341796875	 253859.125
28800758.0	 366.9654846191406	 168.2660369873047	 301159.40625
28800732.0	 360.8720397949219	 181.6881103515625	 374385.71875
28800682.0	 372.51416015625	 162.3247833251953	 262371.125
28800658.0	 363.8438415527344	 177.08114624023438	 416091.5
28800634.0	 368.28204345703125	 167.19447326660156	 279384.375
28800608.0	 365.6158447265625	 172.83218383789062	 336247.4375
28800584.0	 373.38470458984375	 158.1743621826172	 245817.34375
28800508.0	 371.9399719238281	 162.6555938720703	 254130.4375
28800484.0	 370.9266052246094	 169.23236083984375	 295045.625
28800460.0	 368.5298156738281	 176.2179412841797	 357544.96875
28800434.0	 365.5104675292969	 174.330322265625	 317946.875
28800412.0	 364.0556640625	 176.1443634033203	 369351.375
28800386.0	 371.912109375	 168.82113647460938	 279544.0
28800360.0	 368.7491149902344	 188.0982208251953	 397903.8125
28800336.0	 380.38238525390625	 161.59051513671875	 254074.65625
28800310.0	 378.7171325683594	 160.1093292236328	 248151.640625
28800262.0	 371.9931640625	 175.51873779296875	 315763.15625
28800214.0	 377.3587646484375	 167.75132751464844	 267732.03125
28800188.0	 363.146484375	 183.4995574951172	 290322.75
28800164.0	 356.0239562988281	 187.8258056640625	 360832.875
28800138.0	 356.1672058105469	 188.44076538085938	 353558.125
28800112.0	 361.76910400390625	 182.837158203125	 305976.84375
28800088.0	 368.17816162109375	 178.815673828125	 265440.6875
28800062.0	 369.5679016113281	 163.3714141845703	 226216.015625
28799990.0	 358.7936706542969	 179.22886657714844	 317283.3125
28799964.0	 361.0280456542969	 168.94227600097656	 250482.609375
28799940.0	 357.0934143066406	 181.66781616210938	 335183.78125
28799916.0	 365.56585693359375	 170.25611877441406	 279883.9375
28799890.0	 370.15032958984375	 169.0771484375	 254214.734375
28799866.0	 361.7962951660156	 177.29103088378906	 318169.84375
28799842.0	 371.6346435546875	 163.48973083496094	 232935.96875
28799816.0	 357.39166259765625	 179.2715301513672	 366732.53125
28799792.0	 359.5695495605469	 194.16107177734375	 398520.6875
28799766.0	 379.45281982421875	 163.06529235839844	 233957.703125
28799716.0	 367.8269348144531	 170.6043243408203	 268833.4375
28799668.0	 360.0010681152344	 179.70823669433594	 297255.21875
28799618.0	 375.4689636230469	 166.94140625	 254419.21875
28799594.0	 374.4502258300781	 166.4305419921875	 238811.28125
28799568.0	 365.0207824707031	 179.39028930664062	 323600.375
28799494.0	 371.4284973144531	 182.2982177734375	 333105.625
28799470.0	 372.9271545410156	 167.03857421875	 334078.46875
28799446.0	 374.47271728515625	 175.7777862548828	 295872.8125
28799422.0	 370.1621398925781	 170.74551391601562	 304281.25
28799396.0	 364.2593994140625	 183.68064880371094	 323281.5625
28799370.0	 375.50250244140625	 167.02951049804688	 273430.375
28799346.0	 366.17730712890625	 186.7367401123047	 376982.4375
28799322.0	 366.9566345214844	 175.19879150390625	 279440.125
28799298.0	 368.6676025390625	 166.85589599609375	 263148.75
28799272.0	 364.6154479980469	 186.3616180419922	 393885.34375
28799246.0	 374.3835144042969	 167.0242462158203	 281771.15625
28799222.0	 359.5969543457031	 178.69943237304688	 348651.125
28799198.0	 369.71844482421875	 161.42596435546875	 246179.234375
28799172.0	 374.7437438964844	 156.8414306640625	 239590.296875
28799150.0	 376.7281188964844	 165.45223999023438	 260555.71875
28799122.0	 370.75225830078125	 176.6890411376953	 337863.65625
28799100.0	 373.7301025390625	 167.7598419189453	 259587.8125
28799074.0	 375.7169189453125	 161.9821319580078	 230359.734375
28799050.0	 378.9775085449219	 151.21527099609375	 211725.0
28799024.0	 374.16925048828125	 162.075439453125	 298585.5
28799000.0	 375.04071044921875	 165.61474609375	 264182.34375
28798976.0	 365.6460266113281	 180.75611877441406	 350892.875
28798948.0	 361.22991943359375	 185.766357421875	 381112.875
28798902.0	 376.8863220214844	 159.97378540039062	 281009.71875
28798874.0	 378.5714416503906	 160.32327270507812	 245942.78125
28798826.0	 381.57196044921875	 162.39413452148438	 265680.4375
28798802.0	 383.0113220214844	 161.20806884765625	 274787.5625
28798778.0	 382.9110107421875	 162.01039123535156	 310702.6875
28798752.0	 380.33331298828125	 164.62066650390625	 255762.90625
28798728.0	 380.5350646972656	 171.67721557617188	 278027.65625
28798702.0	 372.3899230957031	 178.56590270996094	 328914.71875
28798606.0	 388.8542785644531	 162.92144775390625	 250606.21875
28798554.0	 390.0419006347656	 156.486083984375	 241316.609375
28798528.0	 383.3421630859375	 160.8970184326172	 297160.84375
28798504.0	 380.74786376953125	 162.4021759033203	 283947.5
28798480.0	 375.3879699707031	 180.8516845703125	 406859.5625
28798454.0	 386.9536437988281	 165.07449340820312	 313165.71875
28798432.0	 384.5224304199219	 164.31918334960938	 421916.15625
28798406.0	 385.2155456542969	 176.3420867919922	 447705.875
28798380.0	 389.7396545410156	 162.84703063964844	 264341.4375
28798358.0	 392.3871765136719	 153.5567626953125	 229470.515625
28798332.0	 378.0263977050781	 179.52537536621094	 436754.53125
28798308.0	 379.4783935546875	 168.38539123535156	 325300.875
28798282.0	 383.0065002441406	 167.6217498779297	 370322.46875
28798256.0	 399.8728942871094	 159.65341186523438	 259884.015625
28798234.0	 383.0863952636719	 166.77357482910156	 339642.46875
28798208.0	 387.1261291503906	 161.11456298828125	 270398.71875
28798184.0	 390.25091552734375	 164.1472625732422	 379878.46875
28798158.0	 401.9711608886719	 152.90713500976562	 253080.390625
28798134.0	 390.52581787109375	 160.7617645263672	 367690.125
28798084.0	 385.2238464355469	 167.74305725097656	 309088.96875
28798060.0	 399.86480712890625	 153.18177795410156	 285010.09375
28798010.0	 408.1977233886719	 154.02435302734375	 239449.21875
28797910.0	 375.538818359375	 175.78590393066406	 385335.625
28797886.0	 377.9153747558594	 162.55288696289062	 268237.90625
28797862.0	 384.28143310546875	 159.84339904785156	 264512.34375
28797838.0	 389.4197692871094	 158.31878662109375	 315166.1875
28797812.0	 378.60784912109375	 154.12535095214844	 248226.375
28797786.0	 381.8370361328125	 169.31927490234375	 299537.5625
28797760.0	 386.2433166503906	 166.50770568847656	 281706.71875
