r [km]	 vr [km/s]	 np [cm-3]	 T [K]
27480136.0	 289.0937194824219	 216.20358276367188	 154044.640625
27480118.0	 291.87237548828125	 202.64675903320312	 151071.109375
27480098.0	 290.2932434082031	 212.62850952148438	 158783.296875
27480080.0	 296.6119384765625	 190.90875244140625	 136047.328125
27480058.0	 292.67120361328125	 217.29421997070312	 175211.765625
27480040.0	 298.52923583984375	 207.22482299804688	 146155.984375
27480020.0	 297.4007263183594	 208.730712890625	 164966.90625
27480002.0	 297.2845458984375	 207.56678771972656	 163088.890625
27479984.0	 303.7921447753906	 209.3978729248047	 186895.78125
27479962.0	 304.8119812011719	 197.90057373046875	 161883.453125
27479944.0	 302.1494140625	 200.376953125	 158816.484375
27479924.0	 303.2716064453125	 207.76876831054688	 177325.3125
27479904.0	 309.33282470703125	 192.79917907714844	 153918.921875
27479884.0	 305.8217468261719	 206.18228149414062	 181370.015625
27479868.0	 306.41168212890625	 207.79469299316406	 209735.140625
27479846.0	 306.188720703125	 202.7245330810547	 185926.234375
27479828.0	 302.85247802734375	 209.78512573242188	 185787.8125
27479808.0	 303.3101806640625	 203.13189697265625	 164355.265625
27479788.0	 299.9332275390625	 208.6897430419922	 183648.921875
27479768.0	 306.0946350097656	 194.42356872558594	 164484.859375
27479750.0	 309.0655822753906	 191.15408325195312	 148860.328125
27479732.0	 301.2887268066406	 202.91908264160156	 166600.859375
27479692.0	 301.60760498046875	 193.6224822998047	 153970.53125
27479672.0	 299.0921630859375	 210.25448608398438	 170626.328125
27479654.0	 304.99871826171875	 200.4716033935547	 146642.03125
27479634.0	 306.7918701171875	 201.96603393554688	 164901.1875
27479616.0	 304.3522033691406	 206.9367218017578	 183911.59375
27479594.0	 311.26507568359375	 197.59255981445312	 159352.140625
27479556.0	 310.4490051269531	 194.62014770507812	 154244.609375
27479538.0	 307.1092834472656	 207.2685089111328	 190636.234375
27479518.0	 309.3849182128906	 200.55691528320312	 179735.0
27479500.0	 310.0410461425781	 197.90902709960938	 166839.9375
27479480.0	 312.1415710449219	 198.80519104003906	 170943.5
27479460.0	 309.6098937988281	 189.6783905029297	 151625.5625
27479440.0	 301.7001037597656	 209.55859375	 177800.59375
27479422.0	 303.0655822753906	 194.85321044921875	 152011.765625
27479404.0	 307.50048828125	 192.2583770751953	 143470.109375
27479382.0	 306.1410217285156	 196.79905700683594	 163122.640625
27479362.0	 309.7288513183594	 190.55551147460938	 151030.546875
27479324.0	 309.5338439941406	 192.67684936523438	 154603.453125
27479304.0	 307.19305419921875	 197.27394104003906	 162096.140625
27479288.0	 307.5456848144531	 187.8818359375	 142617.46875
27479266.0	 300.79852294921875	 204.01028442382812	 170978.59375
27479246.0	 299.2951354980469	 200.4967803955078	 144929.15625
27479228.0	 296.07244873046875	 208.3385467529297	 172329.375
27479208.0	 294.7425231933594	 202.8677978515625	 160973.375
27479190.0	 289.840087890625	 211.31333923339844	 188219.125
27479170.0	 291.0302429199219	 205.2347869873047	 143282.6875
27479150.0	 293.2538757324219	 196.66815185546875	 132516.34375
27479130.0	 292.8521728515625	 209.71803283691406	 160214.375
27479112.0	 289.1513366699219	 217.28009033203125	 189045.859375
27479092.0	 294.76849365234375	 202.3342742919922	 149466.109375
27479052.0	 295.08221435546875	 203.06390380859375	 150148.515625
27479034.0	 294.9808349609375	 199.588623046875	 140848.984375
27479014.0	 293.18853759765625	 202.65162658691406	 147334.59375
27478996.0	 291.22906494140625	 209.30409240722656	 191238.703125
27478976.0	 296.28302001953125	 201.46864318847656	 149244.25
27478958.0	 292.2607727050781	 205.5458526611328	 149558.96875
27478940.0	 291.2925720214844	 199.9667510986328	 137159.625
27478920.0	 280.928466796875	 208.4429931640625	 163626.578125
27478902.0	 284.22869873046875	 209.50291442871094	 150256.765625
27478880.0	 288.1177062988281	 198.06719970703125	 127412.3203125
27478862.0	 285.6319885253906	 211.0801544189453	 170545.0625
27478842.0	 293.8841552734375	 193.49839782714844	 136728.328125
27478824.0	 291.45751953125	 202.31431579589844	 142486.46875
27478802.0	 289.3159484863281	 211.0408477783203	 158841.046875
27478784.0	 295.0196533203125	 198.55499267578125	 138830.09375
27478764.0	 293.3616638183594	 204.3568572998047	 150592.0625
27478746.0	 293.65557861328125	 208.24459838867188	 160775.796875
27478724.0	 295.9223327636719	 191.7018280029297	 132323.203125
27478708.0	 296.1353759765625	 205.9338836669922	 146495.84375
27478688.0	 294.4674377441406	 204.4629669189453	 163547.25
27478668.0	 301.9557800292969	 203.71107482910156	 158585.9375
27478650.0	 299.0530090332031	 211.96156311035156	 193986.953125
27478630.0	 301.0278625488281	 194.82737731933594	 162339.765625
27478610.0	 300.94610595703125	 204.86019897460938	 172368.734375
27478590.0	 305.1426086425781	 205.28387451171875	 167898.5625
27478572.0	 297.7228698730469	 207.68519592285156	 196659.875
27478552.0	 295.5702209472656	 213.86326599121094	 204045.59375
27478534.0	 302.437255859375	 202.82838439941406	 158010.625
27478512.0	 305.245361328125	 203.3756866455078	 161678.40625
27478494.0	 303.53070068359375	 198.05517578125	 160396.375
27478474.0	 302.3630065917969	 199.42799377441406	 150221.796875
