START:	 40.2000000000003
END:	 40.3000000000003

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
28036692.0	 286.5357360839844	 408.976806640625	 162478.84375
28036666.0	 283.2593994140625	 428.80120849609375	 163635.828125
28036618.0	 285.63720703125	 429.353759765625	 195383.09375
28036592.0	 280.5201110839844	 433.1778259277344	 176870.640625
28036542.0	 278.022216796875	 460.9063415527344	 207319.203125
28036518.0	 278.352294921875	 438.0302429199219	 175623.5625
28036492.0	 290.9755554199219	 425.7605895996094	 151731.046875
28036468.0	 291.6296691894531	 416.9292907714844	 165935.15625
28036444.0	 289.2732849121094	 429.47998046875	 201154.0625
28036418.0	 289.7478332519531	 406.0616455078125	 149486.46875
28036394.0	 294.48980712890625	 410.6144714355469	 167390.21875
28036346.0	 295.3572998046875	 410.998291015625	 199011.8125
28036320.0	 300.1382751464844	 374.7486267089844	 143339.1875
28036296.0	 299.65618896484375	 377.3081970214844	 175377.875
28036270.0	 296.37646484375	 394.4853820800781	 174176.8125
28036244.0	 290.5343322753906	 429.99957275390625	 208849.6875
28036220.0	 295.188232421875	 408.31787109375	 174619.671875
28036194.0	 291.187255859375	 414.2069091796875	 211528.5
28036170.0	 288.68048095703125	 440.1743469238281	 252741.640625
28036144.0	 296.114501953125	 385.3299865722656	 162982.46875
28036120.0	 300.3161926269531	 359.3760986328125	 127438.0859375
28036068.0	 297.0670471191406	 401.1935729980469	 174848.203125
28036044.0	 295.1862487792969	 408.1655578613281	 170797.40625
28036020.0	 294.5941162109375	 408.13690185546875	 180778.296875
28035996.0	 286.4005126953125	 432.37591552734375	 217048.625
28035946.0	 285.0877380371094	 415.1457824707031	 194451.734375
28035920.0	 293.92218017578125	 435.2278747558594	 252759.890625
28035848.0	 295.5403747558594	 423.5805969238281	 168456.765625
28035822.0	 293.0006408691406	 394.3426818847656	 195610.0
28035796.0	 292.3996887207031	 419.3869323730469	 151499.671875
28035772.0	 293.2890930175781	 389.7164306640625	 164536.515625
28035746.0	 288.6216125488281	 404.7196044921875	 179435.375
28035724.0	 286.9307556152344	 420.25555419921875	 203792.1875
28035696.0	 285.6795349121094	 457.65789794921875	 239595.828125
28035672.0	 291.1340026855469	 404.5816345214844	 195362.578125
28035648.0	 291.6181945800781	 370.2760925292969	 176823.40625
28035624.0	 284.30645751953125	 440.91693115234375	 202601.5625
28035598.0	 289.85107421875	 414.5685729980469	 192618.140625
28035500.0	 292.9919738769531	 410.7847595214844	 193564.46875
28035472.0	 286.98138427734375	 451.69171142578125	 221370.875
28035448.0	 289.3810119628906	 405.637939453125	 180706.828125
28035424.0	 292.6780090332031	 401.4442138671875	 160832.34375
28035398.0	 299.8973083496094	 372.59271240234375	 166870.640625
28035374.0	 293.64630126953125	 429.17523193359375	 200372.59375
28035348.0	 293.2557067871094	 416.1512145996094	 194457.234375
28035298.0	 299.4374084472656	 384.6440124511719	 153103.28125
28035274.0	 299.7623291015625	 392.5419616699219	 178388.484375
28035250.0	 303.09228515625	 368.166748046875	 152400.203125
28035226.0	 300.62750244140625	 378.5491943359375	 171696.65625
28035052.0	 302.7588195800781	 384.9354248046875	 201523.625
28035002.0	 302.21783447265625	 391.4405212402344	 176387.0
28034976.0	 299.68505859375	 401.25531005859375	 188108.640625
28034952.0	 298.90826416015625	 409.04644775390625	 172938.625
28034852.0	 295.6922607421875	 401.30615234375	 168637.375
28034828.0	 299.7569885253906	 395.5358581542969	 165598.390625
28034804.0	 291.3172607421875	 424.7074890136719	 235348.4375
28034778.0	 293.9252624511719	 428.5965270996094	 215808.515625
28034752.0	 294.8119201660156	 403.9930114746094	 204665.5
28034728.0	 293.8865661621094	 420.9976501464844	 212678.765625
28034704.0	 296.5073547363281	 407.4526672363281	 212209.515625
28034676.0	 298.240966796875	 400.3885803222656	 177565.453125
28034654.0	 296.2207946777344	 411.8224182128906	 197786.375
28034628.0	 304.20660400390625	 370.46368408203125	 157532.96875
28034604.0	 301.4850769042969	 393.0280456542969	 178347.609375
28034578.0	 298.95941162109375	 402.7006530761719	 189592.921875
28034554.0	 304.0140380859375	 381.748779296875	 181444.03125
28034528.0	 306.0367126464844	 376.27105712890625	 191011.28125
28034504.0	 304.0466613769531	 378.6444396972656	 218126.34375
28034480.0	 307.7552795410156	 385.3016052246094	 182773.796875
28034454.0	 306.46405029296875	 387.1764831542969	 162420.578125
28034430.0	 298.5953369140625	 412.7168273925781	 245071.515625
28034404.0	 304.6067810058594	 402.69091796875	 209754.28125
28034380.0	 309.45111083984375	 377.77972412109375	 167728.421875
28034354.0	 302.86065673828125	 385.6979675292969	 180404.34375
28034332.0	 289.6568908691406	 389.7593078613281	 175008.21875
28034232.0	 293.45794677734375	 414.1308288574219	 166935.46875
28034108.0	 287.0865783691406	 409.8533630371094	 180691.796875
28034080.0	 292.03564453125	 412.9825744628906	 151720.53125
28034056.0	 284.2984313964844	 439.93841552734375	 227751.46875
28034030.0	 295.4383850097656	 431.49029541015625	 209294.234375
28034006.0	 304.0022888183594	 385.3125305175781	 234609.25
28033982.0	 311.964599609375	 357.9478454589844	 168816.75
28033956.0	 309.6139831542969	 345.9493713378906	 164639.109375
28033932.0	 296.77294921875	 374.83197021484375	 191061.15625
28033834.0	 288.0904846191406	 470.0318908691406	 205836.265625
28033808.0	 295.3901062011719	 387.99176025390625	 152580.25
28033784.0	 301.98565673828125	 438.77740478515625	 163138.140625
28033758.0	 307.818115234375	 362.3313903808594	 138198.25
28033734.0	 287.205810546875	 432.1839294433594	 195309.90625
28033708.0	 296.916015625	 372.3650207519531	 148015.375
28033684.0	 292.61962890625	 390.3594665527344	 186083.09375
28033634.0	 291.71453857421875	 440.4095153808594	 202359.84375
28033610.0	 300.5286560058594	 367.90936279296875	 144237.9375
28033584.0	 287.9965515136719	 392.3675537109375	 209732.03125
28033560.0	 293.4873962402344	 383.31549072265625	 152075.21875
28033536.0	 293.2906188964844	 381.6554870605469	 146147.140625
28033486.0	 285.1908264160156	 452.7167663574219	 219591.984375
28033462.0	 291.3417663574219	 390.27923583984375	 209021.296875
28033362.0	 287.71661376953125	 423.6805114746094	 206148.953125
28033336.0	 291.7957458496094	 388.4189147949219	 139800.125
28033312.0	 291.5338439941406	 416.7493896484375	 160566.625
28033284.0	 291.88739013671875	 422.77337646484375	 186214.671875
28033260.0	 294.3335876464844	 407.2868957519531	 180340.34375
28033236.0	 295.1772155761719	 394.8929138183594	 164108.1875
28033212.0	 288.2712707519531	 431.1944885253906	 241537.09375
28033162.0	 293.8634338378906	 402.7029724121094	 186914.21875
28033136.0	 294.58856201171875	 396.37823486328125	 192702.921875
28033112.0	 293.01116943359375	 422.9006042480469	 176537.84375
28033038.0	 291.8377380371094	 408.7478332519531	 193429.125
28032990.0	 284.8951110839844	 442.54925537109375	 228740.3125
28032962.0	 298.5318603515625	 385.2908020019531	 155175.96875
28032940.0	 292.75506591796875	 400.280517578125	 209399.875
28032914.0	 297.82183837890625	 388.7552490234375	 198785.015625
28032890.0	 292.2679138183594	 402.30902099609375	 221499.890625
28032814.0	 298.4945373535156	 360.5127258300781	 140839.828125
28032766.0	 291.6998291015625	 415.7489013671875	 228034.953125
28032740.0	 294.3405456542969	 399.9656066894531	 191289.109375
28032716.0	 295.7519836425781	 393.6770935058594	 197624.296875
28032690.0	 293.56488037109375	 401.0802001953125	 199996.453125
28032666.0	 289.6360778808594	 437.5979919433594	 225761.28125
28032640.0	 294.9967346191406	 389.3816833496094	 161492.1875
28032590.0	 294.828369140625	 398.4576721191406	 164504.078125
28032564.0	 288.05670166015625	 434.2215881347656	 215781.03125
28032540.0	 285.0367126464844	 439.7620544433594	 255822.453125
28032516.0	 289.9911804199219	 408.8559875488281	 189874.828125
28032492.0	 289.254638671875	 437.212890625	 208837.28125
28032466.0	 295.6983642578125	 372.81396484375	 153860.359375
28032390.0	 282.8815002441406	 438.6747741699219	 222232.140625
28032316.0	 281.4698181152344	 431.73114013671875	 194626.765625
28032292.0	 277.84503173828125	 446.4263000488281	 214127.359375
28032268.0	 279.4208679199219	 445.0081481933594	 190646.875
