START:	 36.80000000000025
END:	 36.900000000000254

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
25671320.0	 338.3292236328125	 306.7273254394531	 571492.1875
25671244.0	 355.6135559082031	 299.4719543457031	 437272.28125
25671220.0	 352.3995056152344	 306.0346984863281	 441342.75
25671194.0	 350.3197021484375	 315.1141357421875	 463356.1875
25671168.0	 356.4204406738281	 259.50640869140625	 387646.6875
25671144.0	 359.6189270019531	 267.6197509765625	 363019.34375
25671120.0	 355.93414306640625	 274.52362060546875	 425273.25
25671094.0	 351.21905517578125	 311.9754943847656	 456209.15625
25671018.0	 357.3321228027344	 264.9682312011719	 371433.1875
25670992.0	 337.478271484375	 459.6636047363281	 362790.15625
25670868.0	 343.98431396484375	 307.9525451660156	 330678.4375
25670844.0	 355.97064208984375	 275.6040954589844	 411777.34375
25670818.0	 360.9402770996094	 284.4573669433594	 441189.5
25670792.0	 353.0488586425781	 308.21917724609375	 420612.25
25670768.0	 356.5416259765625	 299.0181884765625	 453040.125
25670744.0	 363.1500244140625	 297.1197814941406	 468029.6875
25670644.0	 358.4059753417969	 281.69378662109375	 491718.0625
25670618.0	 353.2236633300781	 302.41900634765625	 475259.9375
25670594.0	 359.0326843261719	 290.3804931640625	 406415.625
25670568.0	 360.52288818359375	 269.3156433105469	 372100.9375
25670542.0	 367.0457458496094	 251.4477996826172	 347720.40625
25670494.0	 358.02972412109375	 286.3981018066406	 436635.375
25670466.0	 366.2478332519531	 305.3902893066406	 338004.25
25670368.0	 367.9618225097656	 269.25384521484375	 400846.75
25670318.0	 292.23382568359375	 115.71067810058594	 125432.734375
25670292.0	 362.8531799316406	 295.7258605957031	 473083.125
25670266.0	 360.8274230957031	 272.23358154296875	 480666.78125
25670242.0	 359.05523681640625	 284.1858825683594	 408832.65625
25670218.0	 362.3461608886719	 293.3692626953125	 452140.875
25670192.0	 369.1506652832031	 252.05743408203125	 431538.59375
25670166.0	 369.1199035644531	 281.702392578125	 408281.46875
25670142.0	 359.2832336425781	 282.2685546875	 500914.25
25670094.0	 362.2475280761719	 285.91790771484375	 500534.46875
25670066.0	 266.1910705566406	 41.72737503051758	 21057.470703125
25669992.0	 361.3479309082031	 304.34600830078125	 483577.0625
25669968.0	 358.92431640625	 285.12030029296875	 490213.78125
25669694.0	 373.9325256347656	 269.90020751953125	 409723.4375
25669618.0	 373.5113525390625	 273.0090637207031	 446827.8125
25669592.0	 373.4510192871094	 258.0157470703125	 372485.65625
25669568.0	 363.4496154785156	 307.6177978515625	 473008.78125
25669116.0	 355.8344421386719	 299.4776306152344	 528761.375
25669092.0	 360.8047180175781	 281.4507141113281	 468985.25
25669066.0	 367.0057678222656	 282.6084899902344	 421942.78125
25669042.0	 370.05596923828125	 259.23089599609375	 368947.46875
25668992.0	 367.3220520019531	 283.0644226074219	 445950.6875
25668966.0	 371.6535949707031	 269.86370849609375	 422731.25
25668890.0	 366.7904357910156	 277.285888671875	 460217.6875
25668866.0	 366.72454833984375	 311.7665710449219	 476502.625
25668716.0	 366.85345458984375	 292.3011779785156	 468276.1875
25668692.0	 247.528564453125	 31.7437801361084	 8429.5673828125
25668566.0	 372.3324890136719	 283.08648681640625	 435519.875
25668540.0	 367.3973083496094	 294.8907775878906	 478368.0625
25668516.0	 366.2232666015625	 314.28759765625	 545902.625
25668240.0	 375.4778137207031	 285.424072265625	 447813.71875
25668216.0	 370.993896484375	 319.61199951171875	 553597.5625
25668166.0	 372.789306640625	 286.874755859375	 494980.375
25667890.0	 368.9698791503906	 256.925537109375	 438889.0625
25667866.0	 382.4220886230469	 238.3291778564453	 320667.78125
25667790.0	 371.9277648925781	 273.9493713378906	 447989.5
25667764.0	 388.9354553222656	 253.09869384765625	 368933.5625
25667716.0	 374.0609436035156	 269.258056640625	 420753.96875
25667690.0	 381.0638122558594	 260.9044494628906	 409573.9375
25667664.0	 376.4075927734375	 270.17401123046875	 446159.75
25667440.0	 363.16387939453125	 279.8436279296875	 454730.46875
25667388.0	 361.9596252441406	 284.4674072265625	 474944.84375
25667340.0	 358.1405334472656	 287.61859130859375	 405422.09375
25667138.0	 347.65118408203125	 312.3775634765625	 460228.59375
25666864.0	 360.48529052734375	 281.48846435546875	 472668.65625
25666838.0	 359.3923645019531	 289.9902648925781	 478204.65625
25666812.0	 360.59564208984375	 302.3450012207031	 513824.71875
25666788.0	 360.8318786621094	 283.4023742675781	 491453.34375
25666762.0	 362.10540771484375	 285.754150390625	 463194.4375
25666738.0	 365.3704833984375	 267.2861022949219	 444449.75
25666714.0	 362.9439697265625	 276.962890625	 441528.4375
25666690.0	 364.83935546875	 294.4036865234375	 534728.0
25666662.0	 366.487548828125	 268.48187255859375	 474675.84375
25666638.0	 367.801513671875	 266.8260498046875	 430707.625
25666614.0	 355.6549072265625	 277.7286376953125	 423341.3125
25666462.0	 351.7548828125	 312.1863098144531	 436641.34375
25666440.0	 351.0022888183594	 312.8475036621094	 445506.1875
25666414.0	 344.7763977050781	 321.8980712890625	 464414.0625
25666388.0	 353.537841796875	 269.49835205078125	 423615.0625
25666314.0	 334.4267272949219	 291.7916259765625	 395599.0
25666288.0	 346.829345703125	 289.5577392578125	 426116.5
25666262.0	 348.5827941894531	 273.48577880859375	 389718.125
25666062.0	 340.1651611328125	 268.6064147949219	 331988.96875
25666038.0	 351.8134460449219	 275.5138244628906	 415472.625
25666012.0	 353.8271484375	 274.6893615722656	 405325.0
25665988.0	 351.2327575683594	 302.11993408203125	 467178.9375
25665964.0	 344.6695251464844	 325.62835693359375	 479229.3125
25665936.0	 352.2222900390625	 274.97723388671875	 376378.09375
25665838.0	 341.1220397949219	 270.8025207519531	 442367.8125
25665788.0	 354.19671630859375	 262.62060546875	 332215.9375
25665762.0	 350.701171875	 269.4435119628906	 327706.34375
25665688.0	 345.2936706542969	 265.92138671875	 407419.40625
25665562.0	 345.7154541015625	 267.8253173828125	 379023.40625
25665536.0	 357.3107604980469	 250.28358459472656	 353732.5625
25665512.0	 341.2188415527344	 290.4330139160156	 449299.21875
25665312.0	 347.21282958984375	 294.3833312988281	 395318.59375
25665214.0	 332.6689147949219	 245.81094360351562	 321088.6875
25665186.0	 346.57550048828125	 319.9718933105469	 388817.5625
25665160.0	 351.0485534667969	 272.0997314453125	 374807.40625
25665062.0	 349.1875	 276.3771057128906	 385271.90625
25665036.0	 350.8699645996094	 297.54052734375	 421242.59375
25665012.0	 350.4021911621094	 281.5301513671875	 397799.84375
25664986.0	 349.59063720703125	 301.8555908203125	 458388.40625
25664936.0	 358.17376708984375	 275.2727966308594	 381282.84375
25664738.0	 360.0394287109375	 292.9457702636719	 424862.34375
25664712.0	 363.7487487792969	 253.88424682617188	 319048.5
25664538.0	 348.7532958984375	 284.35382080078125	 403853.3125
25664510.0	 357.7945556640625	 280.701171875	 357236.53125
25664436.0	 356.4126281738281	 272.2269287109375	 387485.28125
25664410.0	 351.85107421875	 284.0935974121094	 451074.53125
25664360.0	 358.1672668457031	 276.5783996582031	 377676.5625
25664334.0	 356.6201477050781	 279.1352233886719	 377180.34375
25664310.0	 357.1542663574219	 286.6532287597656	 441311.25
25664286.0	 361.7290954589844	 267.2254333496094	 365162.1875
25664262.0	 355.4173278808594	 294.40252685546875	 415613.125
25664236.0	 353.8387145996094	 289.009765625	 438086.6875
