START:	 57.70000000000055
END:	 57.80000000000055

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
40141948.0	 279.5740051269531	 385.26617431640625	 53141.875
40142040.0	 279.78338623046875	 381.61456298828125	 50694.66015625
40142128.0	 279.38818359375	 388.0599365234375	 51627.3984375
40142212.0	 278.6482238769531	 382.53424072265625	 51668.8359375
40142304.0	 279.3777770996094	 384.8559875488281	 52172.88671875
40142392.0	 278.8379211425781	 386.09320068359375	 58138.609375
40142480.0	 279.0418701171875	 383.2424011230469	 53572.1328125
40142568.0	 278.9493408203125	 378.7040100097656	 51039.96484375
40142656.0	 279.27264404296875	 380.5469970703125	 49882.125
40142748.0	 279.0978698730469	 376.874755859375	 49278.79296875
40142836.0	 279.3796691894531	 383.9412841796875	 52248.58203125
40142928.0	 278.14044189453125	 385.8297119140625	 58247.265625
40143012.0	 278.4510192871094	 382.59130859375	 52260.71484375
40143104.0	 277.8668518066406	 383.7321472167969	 55031.8671875
40143192.0	 278.90289306640625	 379.94464111328125	 49489.8125
40143280.0	 278.7025451660156	 380.99072265625	 51330.41015625
40143368.0	 278.83905029296875	 385.8780517578125	 52426.19140625
40143456.0	 279.51678466796875	 380.5220642089844	 51034.265625
40143544.0	 279.23834228515625	 382.8330383300781	 51528.83203125
40143636.0	 280.07843017578125	 381.1598815917969	 50414.7109375
40143724.0	 279.2348327636719	 376.30377197265625	 46038.96875
40143812.0	 279.1422119140625	 383.2745361328125	 51097.0703125
40143896.0	 279.8912048339844	 389.0085144042969	 49416.24609375
40143988.0	 279.40765380859375	 383.4563293457031	 49139.58984375
40144080.0	 279.2789001464844	 384.28082275390625	 53014.75390625
40144168.0	 280.5223388671875	 378.7667541503906	 50974.09765625
40144340.0	 279.5335693359375	 380.695556640625	 47834.29296875
40144432.0	 280.1183776855469	 387.44158935546875	 51478.171875
40144520.0	 279.7956237792969	 385.0482177734375	 50530.9375
40144608.0	 280.05242919921875	 387.2152404785156	 50104.14453125
40144696.0	 280.031494140625	 385.77392578125	 49561.16015625
40144784.0	 279.53961181640625	 382.62725830078125	 50093.40625
40144876.0	 279.80145263671875	 381.7437438964844	 50971.30078125
40144968.0	 280.28680419921875	 381.9281921386719	 50078.8046875
40145056.0	 279.96746826171875	 392.80621337890625	 52510.86328125
40145140.0	 280.014404296875	 383.77105712890625	 49737.69921875
40145232.0	 278.3113098144531	 385.2247619628906	 48506.9765625
40145320.0	 279.6935119628906	 379.4764709472656	 48717.84375
40145408.0	 279.7403564453125	 377.4555358886719	 44500.890625
40145496.0	 279.347900390625	 386.109130859375	 49378.515625
40145584.0	 280.2504577636719	 392.6722412109375	 49918.01953125
40145672.0	 281.2597351074219	 384.66815185546875	 48195.125
40145764.0	 280.4089660644531	 379.3639221191406	 46457.421875
40145852.0	 281.1480712890625	 380.86932373046875	 48449.46484375
40145940.0	 280.493408203125	 389.46490478515625	 50584.58984375
40146028.0	 279.20550537109375	 377.9208984375	 47441.8046875
40146116.0	 277.74334716796875	 384.31414794921875	 52504.890625
40146208.0	 278.39007568359375	 374.1036376953125	 44285.52734375
