START:	 30.600000000000165
END:	 30.700000000000166

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
21355174.0	 280.29217529296875	 471.2624206542969	 179659.359375
21354932.0	 285.14739990234375	 443.01007080078125	 155152.609375
21354908.0	 282.6933288574219	 501.2603759765625	 175510.6875
21354298.0	 282.08203125	 484.68011474609375	 156922.96875
21353328.0	 291.6106872558594	 378.9823303222656	 125760.296875
21353302.0	 291.4373474121094	 447.6229553222656	 151925.28125
21353230.0	 284.8458557128906	 450.2818298339844	 190852.671875
21353204.0	 280.8475036621094	 484.735107421875	 164788.390625
21351552.0	 312.0513916015625	 443.21844482421875	 274819.90625
21351504.0	 316.3353576660156	 405.5943908691406	 246394.140625
21351456.0	 305.5989074707031	 383.84686279296875	 234609.046875
21351358.0	 298.18994140625	 432.3054504394531	 192414.6875
21351332.0	 290.3723449707031	 436.17877197265625	 214460.71875
21351310.0	 292.3561706542969	 478.37030029296875	 203190.875
21351114.0	 276.0710754394531	 506.785400390625	 189583.296875
21351090.0	 287.120849609375	 493.4424133300781	 168903.875
21348804.0	 417.9094543457031	 498.71063232421875	 565848.9375
21348538.0	 419.51947021484375	 487.0709533691406	 639453.1875
21348488.0	 441.39642333984375	 402.07562255859375	 439863.125
21348026.0	 471.7912292480469	 457.29583740234375	 384655.25
21348002.0	 462.08294677734375	 466.0299377441406	 429011.34375
21347978.0	 465.1018981933594	 444.5727233886719	 359383.5625
21347954.0	 456.937744140625	 428.5639343261719	 391591.78125
21347686.0	 425.1753845214844	 436.7685852050781	 386547.6875
21347662.0	 399.8904724121094	 502.6006164550781	 660447.0
21347638.0	 408.6188659667969	 487.0611572265625	 524645.375
21347612.0	 415.8978271484375	 421.4444580078125	 417779.90625
21347590.0	 407.3981018066406	 509.2428283691406	 560138.875
21347564.0	 420.88616943359375	 417.88140869140625	 550454.3125
21347152.0	 418.2752685546875	 469.6919250488281	 615105.25
21347078.0	 425.8060302734375	 487.6358642578125	 614931.125
21347056.0	 424.8133544921875	 471.3429870605469	 644595.8125
21346958.0	 445.4218444824219	 448.43017578125	 473816.78125
21346812.0	 382.2212219238281	 466.9806823730469	 409411.15625
21346786.0	 378.6898193359375	 462.879638671875	 456969.28125
21346714.0	 387.36114501953125	 428.933837890625	 479669.875
21346690.0	 377.8616027832031	 517.0239868164062	 564533.4375
21346568.0	 388.7133483886719	 523.4298095703125	 497988.0625
21346542.0	 381.89599609375	 465.39886474609375	 531634.25
21346202.0	 479.15020751953125	 420.15289306640625	 455099.40625
21346180.0	 445.1073913574219	 384.90130615234375	 431021.0
21346154.0	 440.92327880859375	 515.0894775390625	 745671.75
21346132.0	 437.3066101074219	 487.6994934082031	 665373.9375
21346106.0	 442.06817626953125	 443.7561340332031	 492139.59375
21346082.0	 412.8143615722656	 455.3982849121094	 577090.6875
21346058.0	 424.5550231933594	 477.8088073730469	 644824.25
21345986.0	 444.9617919921875	 501.07708740234375	 730146.9375
21345960.0	 458.2459411621094	 423.559326171875	 619182.0
21345912.0	 446.1412658691406	 540.9232788085938	 798641.0625
21345888.0	 449.47357177734375	 553.5535888671875	 761836.875
21345644.0	 389.0724792480469	 439.09521484375	 474761.0625
21345620.0	 394.85626220703125	 432.6728210449219	 459989.0625
21345328.0	 382.59808349609375	 455.8118896484375	 436007.75
21345010.0	 393.050048828125	 427.92987060546875	 658385.5
21344988.0	 397.6201477050781	 465.5396728515625	 589725.0
21344648.0	 440.25970458984375	 476.87298583984375	 655989.0
21344622.0	 454.48248291015625	 426.3340759277344	 465445.53125
21344598.0	 423.9511413574219	 477.94171142578125	 864106.9375
21344574.0	 431.3970031738281	 431.4884338378906	 543428.625
21344550.0	 445.1847229003906	 382.7478332519531	 294227.3125
21344524.0	 396.64599609375	 430.66107177734375	 566026.25
21343942.0	 306.0504455566406	 507.9955139160156	 425485.21875
21343894.0	 310.6029052734375	 861.75927734375	 455636.75
21343870.0	 371.0955810546875	 718.46875	 870274.875
21343844.0	 394.5206298828125	 434.59796142578125	 544973.75
21343820.0	 402.5039367675781	 431.46820068359375	 571376.875
21343796.0	 403.8596496582031	 431.8294982910156	 624966.1875
21343772.0	 402.46795654296875	 396.01739501953125	 533736.5625
21343746.0	 403.47784423828125	 422.6468200683594	 552497.1875
21343724.0	 405.71087646484375	 413.0157165527344	 600686.5625
21343698.0	 411.7645568847656	 406.71624755859375	 538538.625
21343674.0	 383.58868408203125	 420.0294494628906	 486807.03125
21343650.0	 435.07525634765625	 376.88177490234375	 566117.3125
21343626.0	 431.4462585449219	 422.3979187011719	 636978.625
21343602.0	 425.9690246582031	 448.370361328125	 746105.1875
21343578.0	 418.6147766113281	 420.2117919921875	 686048.9375
21343480.0	 386.0106201171875	 411.35546875	 541434.4375
21342460.0	 394.9353942871094	 464.2476501464844	 485996.25
21339202.0	 360.1600646972656	 506.26043701171875	 511061.96875
21339178.0	 352.3992004394531	 458.8998718261719	 416367.5
21335944.0	 313.48114013671875	 592.9150390625	 392891.9375
21335922.0	 308.4380798339844	 610.331298828125	 372543.90625
21335360.0	 303.00091552734375	 512.1864624023438	 309585.09375
21335238.0	 302.7047119140625	 554.5309448242188	 365953.09375
21335216.0	 288.3524475097656	 537.0323486328125	 241243.109375
21334510.0	 295.24810791015625	 513.6219482421875	 176302.40625
21332956.0	 291.1126708984375	 489.06573486328125	 253450.859375
21332348.0	 295.3804931640625	 437.8333740234375	 233416.71875
21332324.0	 288.62158203125	 540.254150390625	 297852.28125
21332274.0	 296.37774658203125	 478.408203125	 327974.53125
21332176.0	 287.8215026855469	 516.6429443359375	 254632.09375
21332152.0	 287.6404113769531	 538.6879272460938	 278559.6875
21330936.0	 366.29937744140625	 450.070068359375	 460306.75
21330088.0	 312.0230712890625	 561.0077514648438	 421199.09375
21328070.0	 302.1595153808594	 590.2340698242188	 363734.3125
21325518.0	 298.5588684082031	 640.6657104492188	 338458.53125
21325492.0	 305.9868469238281	 575.04541015625	 372430.1875
21324254.0	 308.7126159667969	 468.4599304199219	 266803.5625
21324230.0	 315.6399230957031	 686.15380859375	 330783.34375
21322916.0	 284.58941650390625	 527.0433349609375	 198569.625
21322796.0	 288.8386535644531	 474.6519775390625	 210166.21875
21322772.0	 289.84722900390625	 498.0602111816406	 203078.421875
21322504.0	 289.0769958496094	 454.5334777832031	 209643.1875
21322480.0	 285.6054382324219	 539.5098266601562	 226550.265625
21322454.0	 287.2308349609375	 491.37060546875	 187642.296875
21318956.0	 286.79547119140625	 529.7172241210938	 197265.34375
21318908.0	 288.39276123046875	 483.3058776855469	 197754.3125
21318274.0	 286.5130615234375	 590.6412353515625	 213866.953125
21317062.0	 311.23822021484375	 768.464111328125	 371298.28125
21317036.0	 320.2421875	 511.60931396484375	 328761.875
21315822.0	 301.0307922363281	 496.0244140625	 261122.34375
21315702.0	 298.7054138183594	 498.8484802246094	 294367.90625
21315140.0	 291.7508544921875	 556.08349609375	 247344.796875
21314972.0	 304.1732177734375	 474.8699035644531	 212893.96875
21314268.0	 298.1466979980469	 595.3396606445312	 184413.625
21313998.0	 302.4056701660156	 400.0218505859375	 174307.875
21313976.0	 301.8338928222656	 414.8254699707031	 162760.375
21313950.0	 301.8318786621094	 412.2406005859375	 151730.265625
21313538.0	 294.5448913574219	 463.3515930175781	 196476.21875
21308290.0	 286.94427490234375	 553.8390502929688	 254522.5625
21308240.0	 295.2109680175781	 496.1399230957031	 230440.59375
21306856.0	 330.3200378417969	 756.6942138671875	 352083.78125
21306808.0	 321.3341064453125	 769.5816650390625	 342640.96875
21306784.0	 318.99578857421875	 619.7050170898438	 320976.71875
21305156.0	 296.7994689941406	 549.0624389648438	 275914.625
21304598.0	 296.3196105957031	 498.1512145996094	 265350.90625
21304572.0	 301.0135498046875	 439.8967590332031	 233476.328125
21304550.0	 307.9319763183594	 556.740234375	 284255.15625
21304378.0	 316.5452575683594	 499.9290466308594	 286529.09375
21302606.0	 300.6981201171875	 473.717529296875	 302766.40625
21302312.0	 295.662841796875	 522.5247802734375	 280064.96875
21302290.0	 313.978515625	 405.1788024902344	 299303.8125
