START:	 54.0000000000005
END:	 54.1000000000005

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
37637332.0	 296.1260681152344	 132.5026092529297	 111536.0234375
37637288.0	 293.5054931640625	 145.1845703125	 157015.5
37637196.0	 301.69744873046875	 125.79438018798828	 104665.46875
37637152.0	 303.88311767578125	 136.8293914794922	 156042.25
37637104.0	 325.01397705078125	 121.94751739501953	 129111.6171875
37637060.0	 317.7410888671875	 123.99851989746094	 156515.96875
37637012.0	 318.0714111328125	 127.90373992919922	 141817.25
37636968.0	 304.6556396484375	 136.175537109375	 141783.859375
37636920.0	 318.833251953125	 123.85478210449219	 120757.53125
37636876.0	 309.5994873046875	 130.83865356445312	 137314.25
37636832.0	 306.552978515625	 131.72776794433594	 136685.203125
37636784.0	 315.0498962402344	 136.3179473876953	 152081.578125
37636740.0	 310.8767395019531	 131.19528198242188	 128745.1796875
37636696.0	 307.32733154296875	 127.44928741455078	 140746.0625
37636648.0	 316.8842468261719	 124.78194427490234	 125475.0234375
37636600.0	 302.76922607421875	 136.7471923828125	 162127.671875
37636560.0	 303.7276306152344	 137.29052734375	 133834.34375
37636512.0	 301.89825439453125	 126.87799072265625	 111626.4765625
37636464.0	 289.36370849609375	 145.82762145996094	 151197.859375
37636420.0	 290.2590026855469	 146.83465576171875	 169276.46875
37636376.0	 291.42181396484375	 138.91348266601562	 151895.5625
37636332.0	 293.2769775390625	 136.9876251220703	 139130.90625
37636284.0	 293.6968078613281	 143.4001922607422	 145545.296875
37636236.0	 304.7981262207031	 131.9882049560547	 128067.84375
37636188.0	 298.29144287109375	 134.44956970214844	 138351.25
37636144.0	 295.47149658203125	 140.05682373046875	 141573.625
37636100.0	 295.4512634277344	 131.5043182373047	 137778.1875
37636056.0	 296.8392639160156	 132.8680877685547	 123619.875
37636008.0	 299.67486572265625	 129.5485076904297	 117354.1875
37635964.0	 297.6986389160156	 134.85911560058594	 133935.640625
37635920.0	 301.79132080078125	 136.13856506347656	 149763.9375
37635872.0	 305.29998779296875	 135.9461669921875	 139462.0625
37635824.0	 302.8653259277344	 131.6063690185547	 132309.859375
37635780.0	 297.46820068359375	 138.8063507080078	 173247.9375
37635688.0	 300.4789123535156	 134.3370819091797	 140460.953125
37635644.0	 302.6945495605469	 131.85586547851562	 136576.84375
37635596.0	 304.3769836425781	 132.13961791992188	 148968.859375
37635552.0	 306.4415283203125	 123.10968017578125	 123651.3203125
37635508.0	 305.6646728515625	 127.9150161743164	 129177.34375
37635464.0	 301.0419006347656	 139.8300323486328	 145837.109375
37635416.0	 304.416748046875	 137.67884826660156	 157140.140625
37635368.0	 306.9674377441406	 139.0868682861328	 163429.515625
37635324.0	 305.7069091796875	 133.90870666503906	 152077.59375
37635280.0	 308.63214111328125	 129.45355224609375	 138474.75
37635232.0	 309.8542175292969	 124.02320098876953	 122961.5859375
37635188.0	 308.6854553222656	 128.08453369140625	 115923.8203125
37635140.0	 303.4637451171875	 134.7199249267578	 130913.4140625
37635100.0	 302.1501770019531	 134.6574249267578	 140866.359375
37635052.0	 304.40972900390625	 128.0985107421875	 121094.859375
37635004.0	 300.9021301269531	 125.41822814941406	 115109.625
37634956.0	 299.157470703125	 130.89010620117188	 122355.84375
37634912.0	 302.6368713378906	 145.44647216796875	 179640.296875
37634868.0	 305.7450256347656	 135.0668182373047	 148869.234375
37634820.0	 302.3432312011719	 130.29437255859375	 132484.109375
37634776.0	 299.84771728515625	 143.23023986816406	 143919.796875
37634732.0	 308.42376708984375	 121.07781219482422	 110927.25
37634688.0	 301.9142150878906	 131.71041870117188	 130082.5
37634640.0	 297.3441162109375	 137.1419677734375	 131184.546875
37634596.0	 299.14385986328125	 133.5067901611328	 128304.78125
37634548.0	 300.25390625	 140.1982879638672	 140558.125
37634504.0	 306.4642639160156	 128.123779296875	 139255.375
37634460.0	 308.4596252441406	 128.94630432128906	 123321.34375
37634408.0	 297.5953369140625	 134.1696319580078	 152092.890625
37634364.0	 298.4039001464844	 140.16525268554688	 138847.109375
37634320.0	 293.91473388671875	 142.3950958251953	 159833.671875
37634276.0	 297.1157531738281	 136.43341064453125	 139936.578125
37634184.0	 293.12744140625	 144.90292358398438	 194186.046875
37634140.0	 298.4036560058594	 129.6121368408203	 118712.3671875
37634092.0	 294.155517578125	 141.96434020996094	 143231.0
37634048.0	 294.4278259277344	 151.59933471679688	 158526.875
37634000.0	 300.5077209472656	 120.34864807128906	 115650.0078125
37633956.0	 296.61956787109375	 137.63821411132812	 130716.796875
37633912.0	 301.86224365234375	 146.25531005859375	 184115.96875
37633868.0	 301.5989685058594	 128.9977569580078	 132593.453125
37633820.0	 295.1875305175781	 141.8908233642578	 139503.4375
37633772.0	 307.1127014160156	 133.36680603027344	 132726.84375
37633728.0	 306.8299255371094	 127.02661895751953	 124232.59375
37633680.0	 297.0860900878906	 143.7537078857422	 184024.09375
37633636.0	 304.3423156738281	 130.42591857910156	 142977.0
37633588.0	 307.2806091308594	 127.16386413574219	 116418.6953125
37633544.0	 308.41937255859375	 135.1337127685547	 141790.546875
37633500.0	 303.21417236328125	 130.22366333007812	 124235.875
37633456.0	 302.260986328125	 128.6128387451172	 129829.1796875
37633408.0	 304.4193115234375	 129.31239318847656	 117113.015625
37633364.0	 306.9342956542969	 127.53996276855469	 117455.765625
37633316.0	 304.81817626953125	 135.40151977539062	 125231.546875
37633272.0	 302.4391174316406	 136.61270141601562	 162274.734375
37633224.0	 305.706298828125	 129.24911499023438	 123300.2890625
37633180.0	 301.081298828125	 131.5803680419922	 135640.90625
37633132.0	 301.073974609375	 130.48704528808594	 132591.84375
37633088.0	 298.6905822753906	 136.098388671875	 150216.34375
37633044.0	 295.3312683105469	 140.190673828125	 136776.15625
