"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.7816e-09,3.1346e-06,3.4368e-05,6.1358,11.839,-4.8847,-15.162,1.2162e-13,1.1087e+09,0.042206,1.5217,0,221.83,28074,3.0146e+05,1,1.1444e+09,0,8.2e+07,1.1414e+09
4.6385e-09,2.9653e-06,3.2253e-05,6.1302,11.802,-4.928,-15.2,1.0064e-13,1.1366e+09,0.042474,1.5217,0,228.04,28621,3.0802e+05,1,1.1723e+09,0,8.4e+07,1.1693e+09
4.4841e-09,2.7956e-06,3.0292e-05,6.1248,11.766,-4.9695,-15.236,8.2898e-14,1.1645e+09,0.0426,1.5217,0,234.28,29091,3.1412e+05,1,1.2002e+09,0,8.6e+07,1.1971e+09
4.254e-09,2.5784e-06,2.8611e-05,6.1198,11.732,-5.0078,-15.269,7.0952e-14,1.1925e+09,0.042207,1.5217,0,240.72,29416,3.1944e+05,1,1.2281e+09,0,8.8e+07,1.225e+09
4.1826e-09,2.481e-06,2.6913e-05,6.1148,11.699,-5.0461,-15.303,5.8935e-14,1.2204e+09,0.042748,1.5217,0,246.71,29905,3.2473e+05,1,1.256e+09,0,9e+07,1.2528e+09
3.9746e-09,2.2957e-06,2.5496e-05,6.1102,11.668,-5.0813,-15.333,5.0884e-14,1.2483e+09,0.042318,1.5217,0,253.11,30127,3.2933e+05,1,1.2839e+09,0,9.2e+07,1.2806e+09
3.8607e-09,2.1792e-06,2.4124e-05,6.1057,11.638,-5.1159,-15.363,4.3619e-14,1.2763e+09,0.042481,1.5217,0,259.22,30471,3.3377e+05,1,1.3119e+09,0,9.4e+07,1.3085e+09
3.7581e-09,2.075e-06,2.2824e-05,6.1013,11.609,-5.1496,-15.393,3.7138e-14,1.3042e+09,0.042664,1.5217,0,265.32,30796,3.3803e+05,1,1.3398e+09,0,9.6e+07,1.3363e+09
3.5793e-09,1.9255e-06,2.1706e-05,6.0971,11.581,-5.1813,-15.42,3.2556e-14,1.3321e+09,0.04224,1.5217,0,271.64,30935,3.4185e+05,1,1.3677e+09,0,9.8e+07,1.3642e+09
3.528e-09,1.8619e-06,2.0575e-05,6.093,11.554,-5.213,-15.448,2.7945e-14,1.3601e+09,0.042727,1.5217,0,277.59,31309,3.4566e+05,1,1.3956e+09,0,1e+08,1.392e+09
