AT 40 Rs:

		 EQ		 POL		 PSP

VR		 417		 652		 304

NP		 4.0e+02		 9.0e+01		 4.0e+02

T		 1.7e+05		 4.7e+05		 3.3e+05

RP		 1.2e-07		 6.4e-08		 6.3e-08

ML		 4.3e-14		 2.6e-14		 3.2e-14

