# Logging execution of calculation routine.

## CURRENTLY HANDLING encounter_7

### INSTRUMENT: SPC

RAW DATA:	 1.35717e+05
DQF DATA:	 9.68810e+04
TIME AVG DATA:	 9.68810e+04

RAW DATA:	 1.93884e+05
DQF DATA:	 7.55800e+04
TIME AVG DATA:	 7.55800e+04

RAW DATA:	 9.75500e+04
DQF DATA:	 2.90000e+01
TIME AVG DATA:	 2.90000e+01

RAW DATA:	 9.77960e+04
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 9.78550e+04
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 9.77430e+04
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 9.85920e+04
DQF DATA:	 5.29000e+02
TIME AVG DATA:	 5.29000e+02

RAW DATA:	 2.85220e+04
DQF DATA:	 2.74000e+02
TIME AVG DATA:	 2.74000e+02

RAW DATA:	 0.00000e+00
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 0.00000e+00
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

### INSTRUMENT: SPAN

RAW DATA:	 0.00000e+00
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 0.00000e+00
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 1.71590e+04
DQF DATA:	 2.43000e+02
TIME AVG DATA:	 2.43000e+02

RAW DATA:	 2.47190e+04
DQF DATA:	 1.17000e+02
TIME AVG DATA:	 1.17000e+02

RAW DATA:	 2.46870e+04
DQF DATA:	 3.82800e+03
TIME AVG DATA:	 3.82800e+03

RAW DATA:	 3.75770e+04
DQF DATA:	 2.94850e+04
TIME AVG DATA:	 2.94850e+04

RAW DATA:	 2.52180e+04
DQF DATA:	 2.26210e+04
TIME AVG DATA:	 2.26210e+04

RAW DATA:	 2.47190e+04
DQF DATA:	 1.20590e+04
TIME AVG DATA:	 1.20590e+04

RAW DATA:	 2.47200e+04
DQF DATA:	 7.04000e+03
TIME AVG DATA:	 7.04000e+03

RAW DATA:	 7.21900e+03
DQF DATA:	 9.98000e+02
TIME AVG DATA:	 9.98000e+02

RAW DATA:	 0.00000e+00
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

RAW DATA:	 0.00000e+00
DQF DATA:	 0.00000e+00
TIME AVG DATA:	 0.00000e+00

